yrke4,alder_gr,age_label,eloundou_beta,mean_wage,ln_wage,n_obs,z_lnwage,exp_x_zwage
4313,1,21–30,0.837838,42045.967770234856,10.646518769488956,2567.0,-0.16291229013824027,-0.13649410734484294
4321,1,21–30,0.324974,42008.50511151856,10.645627379419814,200299.0,-0.166862350585643,-0.054225925519218746
4322,1,21–30,0.596154,43012.09795273942,10.669236702842973,28999.0,-0.06224120001183237,-0.037105340351853915
4323,1,21–30,0.673913,45745.82658926662,10.730855844450144,24390.0,0.21081471848132918,0.14207077937590798
4411,1,21–30,0.550895,23231.41213856897,10.05326061335159,72.0,-2.791846197727707,-1.5380141110972052
4412,1,21–30,0.234429,31307.99996245733,10.35162893372559,144.0,-1.469672054368604,-0.34453375003357745
4413,1,21–30,0.975,47188.83854598506,10.76191267212649,102.0,0.34843835921153016,0.33972740023124187
4415,1,21–30,0.595588,31383.750472190663,10.3540455370609,1317.0,-1.4589632417148402,-0.8689409992064582
4416,1,21–30,0.62069,44096.94220209178,10.694145721209912,4678.0,0.04813935238710092,0.029879614633149667
5111,1,21–30,0.239841,31902.739691911826,10.370447168844128,7489.0,-1.38628188792534,-0.33248723428190147
5112,1,21–30,0.276428,50236.36496304772,10.824494445081925,1681.0,0.6257600331195625,0.17297759443517444
5113,1,21–30,0.335487,30421.66243035129,10.322910213575534,9239.0,-1.596934724765958,-0.5357508400075569
5120,1,21–30,0.193279,36454.98360145595,10.503833452410666,101067.0,-0.7952007202283916,-0.1536956000050233
5131,1,21–30,0.156652,31384.44466046197,10.354067656169784,208025.0,-1.4588652242249003,-0.2285341551052791
5132,1,21–30,0.194444,31993.61429475805,10.373291608579644,84945.0,-1.3736771828885344,-0.2671032861495782
5141,1,21–30,0.199314,32529.78703096113,10.38991147259571,64363.0,-1.3000287659230783,-0.25911393345119244
5142,1,21–30,0.200133,33728.249482201674,10.426091028760586,17123.0,-1.1397045276814073,-0.2280924862384631
5151,1,21–30,0.265306,36225.60179633789,10.49752137978624,2924.0,-0.8231717166282723,-0.21839239545178038
5152,1,21–30,0.153486,34774.962314593526,10.456652933098562,349.0,-1.0042740649672863,-0.1541420091355689
5153,1,21–30,0.0,38870.918265760665,10.568001647589885,28801.0,-0.510849055863903,-0.0
5163,1,21–30,0.126856,42462.065502652265,10.65636637992081,2632.0,-0.11927409198587256,-0.01513063421295985
5164,1,21–30,0.238907,29876.8891669526,10.304840522948412,6059.0,-1.6770078293627602,-0.40064890948956894
5165,1,21–30,0.36,53325.100192886086,10.88416242224798,7659.0,0.8901696611142883,0.32046107800114376
5169,1,21–30,0.221113,51917.963291589695,10.85742012278862,3527.0,0.7716652004704353,0.17062520747161936
5211,1,21–30,0.26087,42240.96492321295,10.65114576194529,903.0,-0.14240847197277934,-0.037150098083538946
5212,1,21–30,0.19525,31154.41937141159,10.346711388034045,811.0,-1.491463415307985,-0.2912082318388841
5221,1,21–30,0.480769,38061.569434074205,10.54696037578752,162.0,-0.6040902735830113,-0.29042787674023074
5222,1,21–30,0.486486,39694.23836160038,10.588961326712266,22586.0,-0.41796940378160824,-0.20333626336809946
5223,1,21–30,0.342481,37878.365743463786,10.54213540337735,1345652.0,-0.6254714100091335,-0.21421207397133804
5230,1,21–30,0.235604,28969.855028368514,10.274011086552342,1769.0,-1.8136238199817498,-0.4272970264829802
5241,1,21–30,0.233333,34544.520955692016,10.450004233572209,1106.0,-1.033736772635746,-0.24120490236941655
5242,1,21–30,0.128205,35540.45549780659,10.478426918109534,773.0,-0.9077859393401778,-0.11638269635310751
5243,1,21–30,0.26087,34738.82517111589,10.455613221466091,2663.0,-1.0088813900186837,-0.263186888214174
5244,1,21–30,0.805556,36147.70830373989,10.495368831490005,37140.0,-0.8327104092617498,-0.6707948664432581
5245,1,21–30,0.230535,31135.0131755209,10.346088290480411,6829.0,-1.494224577998354,-0.34447106308885056
5246,1,21–30,0.064693,30763.0036251999,10.334068065965544,94061.0,-1.547490387287379,-0.10011179562478241
5249,1,21–30,0.532258,35860.305006974275,10.48738625261582,23515.0,-0.868084001778346,-0.4620446546185389
5311,1,21–30,0.24933,30504.08654312754,10.325615938640889,241833.0,-1.5849447128371927,-0.39517426525169724
5312,1,21–30,0.316667,22931.89039021447,10.040283814242494,19045.0,-2.8493509228409657,-0.9022954086832801
5321,1,21–30,0.113347,43498.21172553245,10.680475106473873,80799.0,-0.01243991187647249,-0.0014100266914625274
