styrk08,name_en,source
4214,Debt collectors and related clerks,"SSB Klass API, classification 7, language=en"
4221,Travel consultants and clerks,"SSB Klass API, classification 7, language=en"
4222,Contact centre information clerks,"SSB Klass API, classification 7, language=en"
4223,Telephone switchboard operators,"SSB Klass API, classification 7, language=en"
4224,Hotel receptionists,"SSB Klass API, classification 7, language=en"
4225,Enquiry clerks,"SSB Klass API, classification 7, language=en"
4226,Receptionists (general),"SSB Klass API, classification 7, language=en"
4227,Survey and market research interviewers,"SSB Klass API, classification 7, language=en"
4229,Client information workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
4311,Accounting and bookkeeping clerks,"SSB Klass API, classification 7, language=en"
4312,"Statistical, finance and insurance clerks","SSB Klass API, classification 7, language=en"
4313,Payroll clerks,"SSB Klass API, classification 7, language=en"
4321,Stock clerks,"SSB Klass API, classification 7, language=en"
4322,Production clerks,"SSB Klass API, classification 7, language=en"
4323,Transport clerks,"SSB Klass API, classification 7, language=en"
4411,Library clerks,"SSB Klass API, classification 7, language=en"
4412,Mail carriers and sorting clerks,"SSB Klass API, classification 7, language=en"
4413,"Coding, proof-reading and related clerks","SSB Klass API, classification 7, language=en"
4415,Filing and copying clerks,"SSB Klass API, classification 7, language=en"
4416,Personnel clerks,"SSB Klass API, classification 7, language=en"
5111,Travel attendants and travel stewards,"SSB Klass API, classification 7, language=en"
5112,Transport conductors,"SSB Klass API, classification 7, language=en"
5113,Travel guides,"SSB Klass API, classification 7, language=en"
5120,Cooks,"SSB Klass API, classification 7, language=en"
5131,Waiters,"SSB Klass API, classification 7, language=en"
5132,Bartenders,"SSB Klass API, classification 7, language=en"
5141,Hairdressers,"SSB Klass API, classification 7, language=en"
5142,Beauticians and related workers,"SSB Klass API, classification 7, language=en"
5151,"Cleaning and housekeeping supervisors in offices, hotels and other local kinds of activity units","SSB Klass API, classification 7, language=en"
5152,Domestic housekeepers,"SSB Klass API, classification 7, language=en"
5153,Building caretakers,"SSB Klass API, classification 7, language=en"
5161,"Astrologers, fortune-tellers and related workers","SSB Klass API, classification 7, language=en"
5163,Undertakers and embalmers,"SSB Klass API, classification 7, language=en"
5164,Pet groomers and animal care workers,"SSB Klass API, classification 7, language=en"
5165,Driving instructors,"SSB Klass API, classification 7, language=en"
5169,Personal services workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
5211,Stall and market salespersons,"SSB Klass API, classification 7, language=en"
5212,Street food salespersons,"SSB Klass API, classification 7, language=en"
5221,Shopkeepers,"SSB Klass API, classification 7, language=en"
5222,Shop supervisors,"SSB Klass API, classification 7, language=en"
5223,Shop sales assistants,"SSB Klass API, classification 7, language=en"
5230,Cashiers and ticket clerks,"SSB Klass API, classification 7, language=en"
5241,Fashion and other models,"SSB Klass API, classification 7, language=en"
5242,Sales demonstrators,"SSB Klass API, classification 7, language=en"
