styrk08,automation_share,n_classified,n_vintages,usage_pct_mean,passes_threshold,automation_group,directive_share,directive_group,automation_share_feb,n_feb,automation_group_feb,automation_share_handa,automation_group_handa
8172,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8181,0.4683,121,2,0.0153,1,mid,0.4683,high,,0,too_few,0.4037,mid
8182,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8183,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8189,0.5073,274,3,0.0119,1,mid,0.438,mid,0.3793,58,too_few,0.4545,high
8211,0.2947,95,1,0.012,0,too_few,0.2947,too_few,,0,too_few,,too_few
8212,0.6962,135,2,0.0105,1,high,0.6962,high,0.5827,73,too_few,,too_few
8219,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8311,0.7125,393,3,0.0183,1,high,0.7125,high,0.7889,156,high,0.1562,low
8312,0.733,160,3,0.009,1,high,0.733,high,0.7568,58,too_few,0.0,low
8322,0.7681,525,3,0.034,1,high,0.7487,high,0.7954,231,high,0.0,low
8331,0.6943,673,3,0.0323,1,high,0.6943,high,0.7286,281,high,0.2523,low
8332,0.7853,178,3,0.0134,1,high,0.7853,high,0.7037,75,too_few,0.3019,low
8341,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8342,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
8343,0.6538,378,3,0.0169,1,high,0.6538,high,0.7202,214,high,0.4233,high
8344,1.0,40,2,0.0062,0,too_few,1.0,too_few,1.0,21,too_few,,too_few
8350,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9111,0.4062,96,3,0.0057,0,too_few,0.4062,too_few,0.4688,32,too_few,0.5,high
9112,0.4062,96,3,0.0057,0,too_few,0.4062,too_few,0.4688,32,too_few,0.5,high
9122,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9123,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9129,,0,0,,0,too_few,,too_few,,0,too_few,0.0,low
9211,0.4437,10684,3,0.3704,1,mid,0.3918,mid,0.4155,4193,mid,0.3937,mid
9212,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9213,0.4437,10684,3,0.3704,1,mid,0.3918,mid,0.4155,4193,mid,0.3937,mid
