styrk08,overall_exposure,pctl_overall_exposure,q_overall_exposure,automation_share,pctl_automation_share,q_automation_share,augmentation_share,pctl_augmentation_share,q_augmentation_share,n_soc_matched,n_tasks_matched,n_tasks_total,task_coverage,has_partial_match,max_partial_fanout,manual_map
7131,0.00421102,9.4,1,0.0,7.41,1,0.0,5.13,1,1,2,19,0.1053,0,0,
7212,0.00205416,3.99,1,0.0,7.69,1,0.0,5.41,1,1,1,64,0.0156,0,0,
7213,0.00318394,7.69,1,0.0,7.98,1,0.5,32.19,2,2,2,38,0.0526,1,2,
7222,0.28720521,88.03,5,0.23019608,40.74,3,0.43647058,25.07,2,3,5,46,0.1087,1,2,
7223,0.02707377,40.17,3,0.26466883,47.29,3,0.33533117,18.52,1,5,9,109,0.0826,1,3,
7231,0.01083567,20.51,2,0.18377879,30.77,2,0.56622121,39.03,2,4,8,109,0.0734,1,11,
7232,0.01453315,27.92,2,0.12179487,19.94,1,0.87820513,95.73,5,2,5,60,0.0833,1,11,
7233,0.01337769,25.64,2,0.13491978,21.65,2,0.86508022,95.44,5,4,9,80,0.1125,1,11,
7234,0.02269842,35.9,2,0.24358974,43.3,3,0.75641026,81.2,5,1,4,22,0.1818,1,11,
7311,0.01396826,27.64,2,0.18513923,31.34,2,0.48152743,29.06,2,3,8,56,0.1429,1,11,
7312,0.01253035,23.65,2,0.12179487,20.23,2,0.37820513,21.65,2,2,5,61,0.082,1,11,
7313,0.0514566,50.71,3,0.46214099,89.46,5,0.53785901,36.18,2,1,6,94,0.0638,0,0,
7314,0.18441183,78.92,4,0.40672904,83.76,5,0.59327096,43.02,3,2,8,98,0.0816,1,6,
7315,0.01889823,32.76,2,0.29192547,55.84,3,0.70807453,71.23,4,1,2,83,0.0241,1,6,
7316,0.00308123,7.41,1,0.0,8.26,1,0.0,5.7,1,1,1,32,0.0312,1,2,
