styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour
3134,5,8350,0.7946,4,2
3135,1,8121,0.9073,1,5
3135,2,8189,0.8802,1,4
3135,3,8181,0.8791,1,6
3135,4,8114,0.8542,1,4
3135,5,8131,0.8535,1,3
3139,1,3115,0.6986,1,4
3139,2,3113,0.6726,1,2
3139,3,2522,0.6619,1,1
3139,4,2153,0.6618,1,1
3139,5,2523,0.6501,1,1
3141,1,2113,0.5932,2,2
3141,2,3117,0.5839,2,2
3141,3,3212,0.5787,2,2
3141,4,2165,0.5367,2,2
3141,5,3119,0.5261,2,10
3142,1,3212,0.6032,1,2
3142,2,3117,0.5885,1,2
3142,3,8114,0.5454,1,4
3142,4,3116,0.5315,1,1
3142,5,0310,0.5315,1,1
3143,1,5411,0.7569,1,2
3143,2,3121,0.6458,1,1
3143,3,3123,0.6458,1,1
3143,4,1312,0.6312,1,1
3143,5,1311,0.6312,1,1
3151,1,3152,0.8801,2,2
3151,2,7232,0.8418,2,2
3151,3,7127,0.7936,2,2
3151,4,5411,0.7778,2,2
3151,5,3153,0.76,2,3
3152,1,3151,0.8801,2,2
3152,2,3122,0.7988,2,1
3152,3,5411,0.7925,2,2
3152,4,3121,0.7887,2,1
3152,5,3123,0.7887,2,1
3153,1,3151,0.76,3,2
3153,2,3257,0.7469,3,4
3153,3,3154,0.7317,3,2
3153,4,3152,0.7247,3,2
3153,5,3131,0.7092,3,4
3154,1,3153,0.7317,2,3
3154,2,3341,0.7023,2,1
3154,3,2224,0.6971,2,3
3154,4,2221,0.6971,2,3
3154,5,2223,0.6971,2,3
3155,1,3522,1.0,1,1
3155,2,3114,1.0,1,1
3155,3,3113,0.9526,1,2
3155,4,3115,0.8818,1,4
3155,5,7421,0.8475,1,7
3211,1,3259,0.7178,5,10
3211,2,3240,0.6384,5,2
3211,3,3256,0.6118,5,2
3211,4,3119,0.5804,5,10
3211,5,3212,0.5786,5,2
3212,1,3117,0.6839,2,2
3212,2,3119,0.6193,2,10
3212,3,3115,0.6133,2,4
3212,4,3131,0.6063,2,4
3212,5,3142,0.6032,2,1
3213,1,3256,0.5211,1,2
3213,2,4211,0.5183,1,2
3213,3,3352,0.4751,1,1
3213,4,3354,0.4687,1,2
3213,5,4416,0.4496,1,1
3214,1,3521,0.5903,4,4
3214,2,3211,0.5733,4,5
3214,3,3251,0.5472,4,2
3214,4,7232,0.5468,4,2
3214,5,3119,0.5279,4,10
3230,1,2222,0.8182,1,1
3230,2,2224,0.8092,1,3
3230,3,2223,0.8092,1,3
3230,4,2221,0.8092,1,3
3230,5,3259,0.8067,1,10
3240,1,3251,0.653,2,2
3240,2,3211,0.6384,2,5
3240,3,5329,0.609,2,8
3240,4,3259,0.5558,2,10
3240,5,5164,0.5249,2,4
3251,1,5329,0.7551,2,8
3251,2,3240,0.653,2,2
3251,3,3254,0.6328,2,1
3251,4,3230,0.5864,2,1
3251,5,3256,0.5562,2,2
3254,1,2261,0.6665,1,4
3254,2,3251,0.6328,1,2
3254,3,2263,0.6135,1,2
3254,4,5411,0.5987,1,2
3254,5,3351,0.5944,1,3
3256,1,5329,0.6902,2,8
3256,2,3259,0.6277,2,10
3256,3,3211,0.6118,2,5
3256,4,5419,0.5971,2,7
3256,5,5414,0.5957,2,3
3257,1,3153,0.7469,4,3
3257,2,3359,0.7267,4,1
3257,3,3351,0.6635,4,3
3257,4,3112,0.6558,4,5
3257,5,3119,0.6479,4,10
3259,1,3230,0.8067,10,1
3259,2,2222,0.7747,10,1
3259,3,2224,0.7447,10,3
3259,4,2223,0.7447,10,3
3259,5,2221,0.7447,10,3
3311,1,3324,0.9599,2,3
3311,2,1346,0.9039,2,2
3311,3,1211,0.8981,2,1
3311,4,2433,0.8939,2,2
3311,5,1212,0.8589,2,3
3312,1,3321,0.8407,2,3
3312,2,3353,0.8402,2,2
3312,3,2411,0.8234,2,3
3312,4,2423,0.8112,2,4
3312,5,3354,0.8056,2,2
3313,1,4311,0.9405,1,2
3313,2,4313,0.8344,1,1
3313,3,4225,0.8181,1,2
3313,4,4312,0.8124,1,5
3313,5,4110,0.8086,1,2
3315,1,3353,0.7086,3,2
3315,2,3352,0.6699,3,1
3315,3,3312,0.657,3,2
3315,4,3354,0.6459,3,2
3315,5,3411,0.6245,3,6
3321,1,3339,0.9131,3,7
3321,2,3312,0.8407,3,2
3321,3,3311,0.8286,3,2
3321,4,2423,0.8268,3,4
3321,5,3322,0.8223,3,3
3322,1,2433,0.894,3,2
3322,2,2434,0.8552,3,3
3322,3,3339,0.8544,3,7
3322,4,4221,0.8269,3,3
3322,5,3321,0.8223,3,3
3323,1,3311,0.814,3,2
3323,2,1346,0.8133,3,2
3323,3,2422,0.8117,3,1
3323,4,3339,0.8021,3,7
3323,5,3324,0.8015,3,3
3324,1,3311,0.9599,3,2
