styrk08,group_augmentation,augmentation_share,group_automation,automation_share
6114,No usage,,No usage,
6121,Q1,0.0,Q1,0.0
6122,Q1,0.0,Q1,0.0
6123,Q1,0.0,Q1,0.0
6129,Q1,0.0,Q1,0.0
6130,Q1,0.0,Q1,0.0
6210,No usage,,No usage,
6221,Q1,0.0,Q1,0.0
6222,No usage,,No usage,
6224,No usage,,No usage,
7112,No usage,,No usage,
7113,No usage,,No usage,
7114,Q5,0.74418605,Q3,0.25581395
7115,Q3,0.60526316,Q5,0.39473684
7119,Q5,1.0,Q1,0.0
7121,Q1,0.0,Q1,0.0
7122,Q4,0.69736842,Q3,0.30263158
7123,Q4,0.7124183,Q3,0.2875817
7124,No usage,,No usage,
7125,Q1,0.0,Q1,0.0
7126,Q3,0.65299685,Q4,0.34700315
7127,Q4,0.72031039,Q3,0.27968961
7131,Q1,0.0,Q1,0.0
7132,No usage,,No usage,
7211,No usage,,No usage,
7212,Q1,0.0,Q1,0.0
7213,Q2,0.5,Q1,0.0
7214,No usage,,No usage,
7215,No usage,,No usage,
7221,No usage,,No usage,
7222,Q2,0.43647058,Q3,0.23019608
7223,Q1,0.33533117,Q3,0.26466883
7224,No usage,,No usage,
7231,Q2,0.56622121,Q2,0.18377879
7232,Q5,0.87820513,Q1,0.12179487
7233,Q5,0.86508022,Q2,0.13491978
7234,Q5,0.75641026,Q3,0.24358974
7311,Q2,0.48152743,Q2,0.18513923
7312,Q2,0.37820513,Q2,0.12179487
7313,Q2,0.53785901,Q5,0.46214099
7314,Q3,0.59327096,Q5,0.40672904
7315,Q4,0.70807453,Q3,0.29192547
7316,Q1,0.0,Q1,0.0
7317,Q2,0.47846738,Q5,0.52153262
7318,No usage,,No usage,
7319,Q2,0.47846738,Q5,0.52153262
7321,Q2,0.53132536,Q5,0.46867464
7322,Q2,0.49056604,Q5,0.50943396
7323,Q1,0.0,Q1,0.0
7411,Q5,1.0,Q1,0.0
7412,Q4,0.71849218,Q2,0.17039671
7413,Q5,0.75641026,Q3,0.24358974
7421,Q5,0.79255718,Q2,0.20744282
7422,Q5,0.86382096,Q2,0.13617904
7511,No usage,,No usage,
7512,Q3,0.63636364,Q4,0.36363636
7513,Q4,0.71517672,Q3,0.28482328
7514,No usage,,No usage,
