group_type,group,n_codes,n_total,n_employed,share_employed,exposure_w,share_E3,share_top5_v1,exposure2_w,share2_E3,share_top5_v2,handa_augmentation_w,handa_automation_w,mouchel_grounded_w
nus4,"4899 | Samferdsels- og sikkerhetsfag og andre servicefag, andre",1,4173,2705,0.648215,0.215197,0.010351,0.060259,0.197984,0.019224,0.099076,0.514273,0.288928,0.175653
nus4,4999 | Uoppgitt utdanningsgruppe,1,31091,18788,0.604291,0.184180,0.007718,0.041356,0.160177,0.011345,0.056991,0.523707,0.276668,0.142110
nus4,5011 | Generelle programmer,3,8154,5593,0.685921,0.354758,0.035657,0.215732,0.364385,0.122152,0.272108,0.587715,0.263391,0.323244
nus4,"5019 | Allmenne fag, andre",1,24,0,0.000000,,,,,,,,,
nus4,5111 | Utdanninger i germanske og romanske språk,1,62,24,0.387097,0.418319,0.000000,0.541667,0.510937,0.416667,0.541667,0.641128,0.265122,0.453307
nus4,"5119 | Språkutdanninger, andre",1,85,42,0.494118,0.512155,0.119048,0.595238,0.547068,0.309524,0.666667,0.594561,0.381630,0.485363
nus4,"5141 | Bibel-, misjonær- og menighetsarbeid",10,203,107,0.527094,0.258510,0.000000,0.028037,0.203480,0.000000,0.039474,0.537582,0.191100,0.177396
nus4,"5149 | Religionsutdanninger, andre",2,57,24,0.421053,0.165848,0.000000,0.000000,0.158733,0.000000,0.000000,0.647360,0.248474,0.140830
nus4,5151 | Sang- og musikkutdanninger,1,19,6,0.315789,0.255966,0.000000,0.000000,0.193543,0.000000,0.000000,0.716029,0.283971,0.171713
nus4,5152 | Teater- og filmutdanninger,3,180,86,0.477778,0.305015,0.000000,0.116279,0.275968,0.000000,0.120482,0.577338,0.387197,0.245216
nus4,5153 | Danse- og ballettutdanninger,2,113,69,0.610619,0.274392,0.000000,0.043478,0.253496,0.000000,0.043478,0.589414,0.368738,0.224904
nus4,"5161 | Husflid, brukskunst og industridesign",5,578,374,0.647059,0.391254,0.008021,0.101604,0.426802,0.066845,0.272727,0.604742,0.341113,0.378663
nus4,"5162 | Tre-, metall- og glasshåndverk",1,3,3,1.000000,0.054639,0.000000,0.000000,0.055089,0.000000,0.000000,0.708075,0.291925,0.048875
nus4,5163 | Fotofag,7,676,331,0.489645,0.410350,0.048338,0.287009,0.424918,0.138973,0.368580,0.603839,0.361166,0.376991
nus4,"5164 | Tegne-, grafikk-, maler- og skulptørutdanninger",19,1742,854,0.490241,0.403221,0.060890,0.358314,0.436503,0.124122,0.421546,0.605797,0.355206,0.387269
nus4,5165 | Interiør- og dekoratørutdanninger,8,717,481,0.670851,0.405951,0.016632,0.220374,0.428506,0.029106,0.330561,0.623441,0.339137,0.380174
nus4,"5169 | Bildende kunst og kunsthåndverk, andre",6,129,87,0.674419,0.322428,0.000000,0.114943,0.304396,0.000000,0.149425,0.702451,0.257319,0.270063
nus4,"5199 | Humanistiske og estetiske fag, andre",1,83,28,0.337349,0.205530,0.000000,0.000000,0.150533,0.000000,0.000000,0.587751,0.180107,0.133554
nus4,"5219 | Førskole-/barnehagelærerutdanninger, andre",1,6,6,1.000000,0.145058,0.000000,0.000000,0.255320,0.000000,0.000000,0.565171,0.434829,0.226522
nus4,"5229 | Allmenn-/grunnskolelærerutdanninger, andre",1,7,3,0.428571,0.145058,0.000000,0.000000,0.255320,0.000000,0.000000,0.565171,0.434829,0.226522
nus4,5242 | Spesialpedagogikk,3,122,119,0.975410,0.173695,0.000000,0.000000,0.202367,0.000000,0.000000,0.550648,0.373722,0.179542
nus4,"5249 | Utdanninger i pedagogikk, andre",1,158,146,0.924051,0.146561,0.000000,0.000000,0.240267,0.000000,0.000000,0.560874,0.411729,0.213167
nus4,"5299 | Lærerutdanninger og utdanninger i pedagogikk, andre",3,511,444,0.868885,0.244747,0.009009,0.126126,0.251020,0.092342,0.135135,0.531712,0.220645,0.222707
nus4,5351 | Media og kommunikasjon,1,7,3,0.428571,0.406720,0.000000,0.000000,0.258181,0.000000,0.000000,0.764048,0.235952,0.229060
nus4,5352 | Journalistikk,4,178,107,0.601124,0.566528,0.000000,0.757009,0.663290,0.672897,0.785047,0.591280,0.389045,0.588476
nus4,"5359 | Medie- og informasjonsfag, andre",4,554,322,0.581227,0.385780,0.043478,0.211180,0.372460,0.090615,0.258900,0.575223,0.355023,0.329721
nus4,"5379 | Juridiske fag, andre",2,47,30,0.638298,0.328194,0.000000,0.266667,0.355604,0.000000,0.266667,0.539624,0.410376,0.315495
nus4,"5399 | Samfunnsfag og juridiske fag, andre",1,23,13,0.565217,0.151425,0.000000,0.000000,0.114554,0.000000,0.000000,0.561301,0.381007,0.101633
nus4,5411 | Økonomisk-administrative fag,37,4677,3860,0.825315,0.483849,0.216580,0.448187,0.492332,0.290640,0.502982,0.571498,0.365065,0.436670
nus4,"5419 | Økonomisk-administrative fag, andre",2,1887,1440,0.763116,0.514475,0.126389,0.478472,0.563695,0.340278,0.646528,0.625304,0.322768,0.500115
nus4,5421 | Handel,5,158,147,0.930380,0.454490,0.020408,0.183673,0.509302,0.040816,0.612245,0.647132,0.318854,0.451857
nus4,5422 | Markedsføring,9,990,681,0.687879,0.496035,0.130690,0.478708,0.540683,0.220264,0.600587,0.598662,0.333546,0.479698
nus4,"5429 | Handel og markedsføring, andre",1,18,9,0.500000,0.351263,0.000000,0.000000,0.329793,0.000000,0.000000,0.704786,0.295214,0.292595
nus4,5431 | Sekretærutdanninger,9,6712,5386,0.802443,0.516932,0.110657,0.571110,0.541887,0.274400,0.610522,0.595765,0.364638,0.480807
nus4,5432 | Kontorfag,6,657,503,0.765601,0.531207,0.159046,0.638171,0.555366,0.282306,0.667992,0.534489,0.427276,0.492725
nus4,5441 | Reiselivsfag,5,1023,785,0.767351,0.456471,0.063694,0.495541,0.494353,0.150318,0.554140,0.602578,0.328931,0.438594
nus4,5442 | Hotell- og restaurantfag,3,186,157,0.844086,0.336538,0.000000,0.076433,0.303289,0.019108,0.222930,0.428853,0.257453,0.269081
nus4,"5449 | Hotell- og reiselivsfag, andre",1,5,5,1.000000,0.495726,0.000000,0.000000,0.513610,0.000000,0.000000,0.589022,0.410978,0.455679
nus4,"5499 | Økonomiske og administrative fag, andre",11,1792,1315,0.733817,0.483841,0.088213,0.447909,0.529240,0.305344,0.571756,0.615213,0.338446,0.470387
nus4,5514 | Miljø- og forurensningsstudier,2,124,117,0.943548,0.118354,0.000000,0.000000,0.102394,0.000000,0.000000,0.292047,0.127418,0.090845
nus4,5522 | Kjemiske fag,5,535,480,0.897196,0.237094,0.000000,0.047917,0.236483,0.014583,0.052083,0.534788,0.222708,0.209810
nus4,5541 | Informasjons- og datateknologi,24,2001,1410,0.704648,0.571294,0.245351,0.730329,0.640236,0.599288,0.731673,0.717992,0.255598,0.568027
nus4,5542 | Informasjonsmodellering,3,249,199,0.799197,0.385850,0.040201,0.216080,0.392308,0.070352,0.120603,0.551829,0.254167,0.348059
nus4,"5549 | Informasjons- og datateknologi, andre",1,18,0,0.000000,,,,,,,,,
nus4,5551 | Elektro,27,17308,15651,0.904264,0.355250,0.021061,0.136227,0.356965,0.060662,0.157773,0.700788,0.239231,0.316711
nus4,5552 | Mekaniske fag,26,10854,9191,0.846785,0.314920,0.006252,0.102665,0.327030,0.033176,0.122961,0.516149,0.225348,0.290289
nus4,"5559 | Utdanninger i elektrofag, mekaniske fag og maskinfag, andre",6,147,134,0.911565,0.168616,0.000000,0.000000,0.156529,0.000000,0.000000,0.518538,0.149665,0.138874
nus4,5571 | Bygg og anlegg,35,12494,10864,0.869537,0.384042,0.012246,0.120247,0.374723,0.049259,0.137741,0.572410,0.287820,0.332457
nus4,"5579 | Bygg- og anleggsfag, andre",6,105,84,0.800000,0.183304,0.000000,0.000000,0.157439,0.000000,0.000000,0.590348,0.367398,0.139681
nus4,5581 | Næringsmiddelproduksjon,8,828,646,0.780193,0.317125,0.004644,0.111455,0.301594,0.055728,0.160991,0.572778,0.279434,0.267577
nus4,"5583 | Produksjon av tre, papir, plast og glass",2,39,28,0.717949,0.405768,0.000000,0.285714,0.418556,0.000000,0.392857,0.507174,0.193718,0.371346
nus4,5584 | Gruvedrift og utvinning,11,2239,2044,0.912908,0.165285,0.000000,0.008317,0.197617,0.001468,0.019569,0.735905,0.252056,0.175327
nus4,"5589 | Fabrikasjon og utvinning, andre",1,16,10,0.625000,0.383138,0.000000,0.000000,0.393070,0.000000,0.400000,0.592820,0.332180,0.348735
nus4,"5599 | Naturvitenskapelige fag, håndverksfag og tekniske fag, andre",9,1413,808,0.571833,0.185931,0.000000,0.033666,0.178998,0.009901,0.055693,0.533709,0.233536,0.159248
nus4,5611 | Sykepleiefag,1,6,3,0.500000,0.268401,0.000000,0.000000,0.152646,0.000000,0.000000,0.397436,0.352564,0.135429
nus4,5612 | Hjelpepleiefag,2,812,730,0.899015,0.135322,0.000000,0.017808,0.150295,0.004110,0.021918,0.516966,0.131322,0.133343
nus4,"5619 | Pleie- og omsorgsfag, andre",22,1745,1635,0.936963,0.122229,0.000000,0.004893,0.102962,0.003058,0.007951,0.484641,0.024839,0.091349
nus4,5621 | Sosialfag,16,1926,1737,0.901869,0.145081,0.000000,0.004030,0.155704,0.002303,0.004030,0.528045,0.175734,0.138142
nus4,"5629 | Sosialfag, andre",3,328,312,0.951220,0.159001,0.000000,0.064103,0.158895,0.044872,0.060897,0.523190,0.082580,0.140973
nus4,"5659 | Terapeutiske fag, andre",3,111,43,0.387387,0.301590,0.000000,0.162791,0.302948,0.069767,0.162791,0.588707,0.260130,0.268778
nus4,"5689 | Idrettsfag, andre",2,26,18,0.692308,0.104302,0.000000,0.000000,0.093175,0.000000,0.000000,0.500000,0.000000,0.082666
nus4,"5699 | Helse-, sosial- og idrettsfag, andre",46,8626,7583,0.879086,0.157710,0.000000,0.030990,0.158213,0.010951,0.034305,0.527276,0.139301,0.140358
nus4,5711 | Fiske og havbruk,1,29,29,1.000000,0.254553,0.000000,0.000000,0.210661,0.000000,0.000000,0.202359,0.021779,0.186900
nus4,"5719 | Fiske og havbruk, andre",3,62,62,1.000000,0.238926,0.000000,0.000000,0.183014,0.000000,0.000000,0.050934,0.013582,0.162371
