variabelnavn_ssb,beskrivelse,definisjon,kodeliste,fra_aar,til_aar,kilde_fil,varname_normalized
TILGDATO,Tilgangsdato for fødselspengetilfellet,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for fødselspengetilfellet,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,avgdato
FPTILG,Fødselspengegruppens tilgangsdato,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,fptilg
FPAVG,Fødselspengegruppens avgangsdato,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,fpavg
ARBLEDIG,Fødselspenger som arbeidsledige,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,arbledig
ARBLDATO,Endringsdato for fødselspenger som arbeidsledig,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,arbldato
KOMBSP,Kombinert med sykepenger,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,kombsp
KOMBDATO,Endringsdato for Kombinert med sykepenger,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,kombdato
INNT,Utbetalingsgrunnlag for fødselspenger,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,innt
INNTDATO,Endringsdato for Utbetalingsgrunnlag for fødselspenger,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,inntdato
FPREGR,Uttaksprosent,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,fpregr
ABUTB,Antall barn det utbetales fødselspenger for,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,abutb
AARSAK,Årsak til unntak fra fedrekvoten,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,aarsak
AARSDATO,Endringsdato for årsak til unntak fra fedrekvoten,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,aarsdato
FORSTUT,Første tidspunkt for tidskontouttak,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,forstut
STILAND,Stillingsandel før uttak av tidskonto,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,stiland
TIDSPRO,Tidskontoprosent,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,tidspro
SAMTIDS,Samtidig tidskonto for mor og far,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,samtids
BORTFGR,Bortfallsgrunn,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,bortfgr
ERDAG,Antall erstattede dager,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,erdag
ERTLF,Erstattet beløp,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,ertlf
AVDAG,Antall erstattede dager,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,avdag
AVTLF,Erstattet beløp i kroner,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,avtlf
MRK_FNR,Merking av fødselsnummer,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
TOMDATO,Til og med dato,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,tomdato
FPTOM,Til og med dato gruppetilfelle,,,1992,2015,SSB_variabelliste_FD-Trygd.xlsm,fptom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,lnr
SPKODE,Kode for sykepenger (grupper og hendelser),,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,spkode
REGDATO,Registreringsdato for type sykepenger,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for sykepenger (uavhengig av gruppe),,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for perioden,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,avgdato
SPTILG,Sykepengegruppens tilgangsdato,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,sptilg
SPAVG,Sykepengegruppens avgangsdato,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,spavg
ARBUF,Arbeidsuførhetsdato,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,arbuf
SPFOM,Angir sykepenger fom. dato,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,spfom
SPTOM,Angir sykepenger tom. dato,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,sptom
ARBLEDIG,Sykepenger som arbeidsledig,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,arbledig
ARBLDATO,Endringsdato for mottak av sykepenger som arbeidsledig,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,arbldato
PROGR,Prognosegruppe,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,progr
PROGDATO,Endringsdato for prognosegruppe,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,progdato
SPGRAD,Sykepengegrad i prosent,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,spgrad
SPGRDATO,Endringsdato for sykepengegrad,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,spgrdato
INNT,Inntektsgrunnlag for sykepenger,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,innt
INNTDATO,Endringsdato for inntektsgrunnlaget,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,inntdato
BORTFGR,Bortfallsgrunn,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,bortfgr
ERDAG,Antall erstattede dager,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,erdag
ERTLF,Erstattet beløp,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,ertlf
AVDAG,Antall erstattede dager,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,avdag
AVTLF,Erstattet beløp i kroner,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,avtlf
MRK_FNR,Merking av fødselsnummer,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
FORM5,Aktiv/passiv sykemelding,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,form5
FRM5DATO,Endringsdato for FORM5,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,frm5dato
STATSAN,Statsansatte - fra 2001,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,statsan
STATSANDATO,Endringsdato for statsansatt,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,statsandato
TOMDATO,Til og med dato,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,tomdato
ttype1,Tiltakstype nummer en,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,ttype1
ttype2,Tiltakstype nummer to,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,ttype2
ttype3,Tiltakstype nummer tre,,,1992,2019,SSB_variabelliste_FD-Trygd.xlsm,ttype3
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
GS_KODE,Hendelseskode for grunnstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,gs_kode
REGDATO,Registreringsdato,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
GS_TILG,Tilgangsdato for grunnstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,gs_tilg
GS_AVG,Avgangsdato for grunnstønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,gs_avg
PR_TIDS,Månedsfil for opplysningen,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,pr_tids
MRK_FNR,Fødselsnummerkontroll,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
GS_TOM,Til og med dato for tilfellet,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,gs_tom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
PR_TIDS,Månedsfil for opplysningen,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,pr_tids
GRUNNST_BESTAND,Mottak av grunnstønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,grunnst_bestand
GRUNNST_TILGANG,Ny tilgang til grunnstønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,grunnst_tilgang
GRUNNST_SATS,Grunnstønad sats,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,grunnst_sats
GRUNNST_BELOP,Grunnstønad beløp,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,grunnst_belop
OPPHOR_GS_KODE,Kode for opphør av grunnstønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,opphor_gs_kode
OPPHOR_GS_BESK,Beskrivelse av kode for opphør av grunnstønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,opphor_gs_besk
AARGANG,Dataårgang på miniregisterfilen,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,aargang
MRK_FNR,Fødselsnummerkontroll,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
GS_TILG,Tilgangsdato for grunnstønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,gs_tilg
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,lnr
GS,Grunnstønadskode,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,gs
REGDATO,Registreringsdato,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,regdato
GSTILG,Tilgangsdato for grunnstønad,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,gstilg
GSAVG,Avgangsdato fro grunnstønad,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,gsavg
GSKR,Grunnstønadsbeløp,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,gskr
FVTPGS,Første virkningsdato (tidspunkt) for grunnstønad - fra 1994,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,fvtpgs
FVGSDATO,Endringsdato for første virkningsdato grunnstønad,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,fvgsdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
GSTOM,Til og med dato gruppetilfelle,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,gstom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
HS_KODE,Hendelseskode for hjelpestønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,hs_kode
REGDATO,Registreringsdato,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
HS_TILG,Tilgangsdato for hjelpestønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,hs_tilg
HS_AVG,Avgangsdato for hjelpestønad,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,hs_avg
MRK_FNR,Fødselsnummerkontroll,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
HS_TOM,Til og med dato for tilfellet,,,1992,2024,SSB_variabelliste_FD-Trygd.xlsm,hs_tom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
PR_TIDS,Månedsfil for opplysningen,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,pr_tids
HJELPEST_BESTAND,Mottak av hjelpestønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,hjelpest_bestand
HJELPEST_TILGANG,Ny tilgang til hjelpestønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,hjelpest_tilgang
HJELPEST_SATS,Hjelpestønad sats,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,hjelpest_sats
HJELPEST_BELOP,Hjelpestønad beløp,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,hjelpest_belop
OPPHOR_HS_KODE,Kode for opphør av hjelpestønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,opphor_hs_kode
OPPHOR_HS_BESK,Beskrivelse av kode for opphør av hjelpestønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,opphor_hs_besk
MRK_FNR,Fødselsnummerkontroll,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
HS_TILG,Tilgangsdato for hjelpestønad,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,hs_tilg
AARGANG,Årgang,,,2009,2024,SSB_variabelliste_FD-Trygd.xlsm,aargang
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,lnr
HSU,Hjelpestønadskode,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,hsu
REGDATO,Registreringsdato for hsu,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,regdato
HSUTILG,Tilgangsdato for hjelpestønad,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,hsutilg
HSUAVG,Avgangsdato for hjelpestønad,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,hsuavg
HSUKR,Hjelpestønadsbeløp,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,hsukr
HSKRDATO,Endringsdato for hjelpestønad kroner,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,hskrdato
FVTPHSU,Første vrikningsdato (tidspunkt) for hjelpestønad,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,fvtphsu
FVHSDATO,Endringsdato for virkningsdato for hsu,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,fvhsdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
HSUTOM,Til og med dato gruppetilfelle,,,1992,2008,SSB_variabelliste_FD-Trygd.xlsm,hsutom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
KODE,Kode for introduksjonsordning for nyankomne innvandrere,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,kode
REGDATO,Hendelsesdato for introduksjonsstønad,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for introduksjonsstønadstilfelle,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for introduksjonsstønadstilfelle,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
TOMDATO,Tomdato,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
MRK_IMP,Merking av imputerte data,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_imp
REGTOM,Teknisk hjelpevariabel - sluttdato for endringsrekord,,,2005,2024,SSB_variabelliste_FD-Trygd.xlsm,regtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
KODE,"Kode for hendelse, kvalifiseringsstønad",,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,kode
REGDATO,Registreringsdato,,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato,,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato,,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
TOMDATO,Til og med dato for tilfellet,,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
MRK_FNR,Fødselsnummerkontroll,,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
MRK_IMP,Merke for imputering,,,2008,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_imp
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
AAR,Årgang,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,aar
ANT_KOM,Antall kommuner,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,ant_kom
KVP_STONAD,Kvalifiseringsstønadsbeløp,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,kvp_stonad
AARGANG,Dataårgang på miniregisterfilen,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,aargang
MRK_FNR,Fødselsnummerkontroll,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,lnr
AAR,År for omsorgspoeng,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,aar
OMSBARN,Omsorg for barn under 7 år,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,omsbarn
FORHJST,Pleie av funksjonshemmede (barn som har forhøyet hjelpestønad),,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,forhjst
PLEIE,Pleie av syke og eldre,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,pleie
PP,Pensjonspoeng opptjent i året,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,pp
PA_TELL,Antall poengår med inntekt og/eller omsorg i alt,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,pa_tell
GJ_PPTE,Gjennomsnittlig pensjonspoeng for alle opptjeningsår,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,gj_ppte
OMSP1,Antall år innvilget omsorgspoeng i alt,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,omsp1
OMSP2,Antall år med innvilgede omsorgspoeng,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,omsp2
OMSP3,Antall år innvilget omsorgspoeng for barn under 7 år,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,omsp3
OMSP4,Antall år innvilget omsorgspoeng for andre,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,omsp4
MRK_FNR,Merking av fødselsnummer,,,1992,2004,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,lnr
PNSJKODE,Kode for type pensjon,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjkode
REGDATO,Registreringsdato for pensjon og stønader,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,regdato
PNSJTILG,Pensjonsgruppens tilgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjtilg
PNSJAVG,Pensjonsgruppens avgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjavg
PT1,Pensjonstype 1,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt1
PT1DATO,Endringsdato for pensjonstype 1,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt1dato
PT2,Pensjonstype 2,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt2
PT2DATO,Endringsdato for pensjonstype 2,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt2dato
PT3,Pensjonstype 3,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt3
PT3DATO,Endringsdato for pensjonstype 3,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt3dato
PSTAT,Pensjonsstatus,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pstat
PSTADATO,Endringsdato for pensjonsstatus,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pstadato
FVIRK,Første virkningsdato for pensjonsordningen,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fvirk
FVRKDATO,Endringsdato for virkningsdato for pensjonsordning,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,fvrkdato
APD,Alderspensjonsdel,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,apd
APDDATO,Endringsdato for alderspensjondel,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,apddato
GPFAK,Grunnpensjonsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfak
GPFDATO,Endringsdato for grunnpensjon-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfdato
STFAK,Særtilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,stfak
STFDATO,Endringsdato for særtilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,stfdato
TPFAK,Tilleggspensjonsfaktor (inkl. garantitillegg),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfak
TPFDATO,Endringsdato for tilleggspensjon-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfdato
VTSMFAK,Sum av ventetillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,vtsmfak
VTSFDATO,Endringsdato for ventetillegg sum-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,vtsfdato
ETFAK,Ektefelletilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfak
ETFDATO,Endringsdato for ektefelletillegg-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfdato
BTFAK,Barnetilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,btfak
BTFDATO,Endringsdato for barnetillegg-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,btfdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
BERTRYGD,Beregning av folketrygd (EØS),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,bertrygd
BERTDATO,Dato for beregning av trygd EØS,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,bertdato
PNSJTOM,Til og med dato gruppetilfelle,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,lnr
PNSJKODE,Kode for pensjon,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjkode
REGDATO,Registreringsdato for pensjon og stønader,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,regdato
PNSJTILG,Pensjonsgruppens tilgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjtilg
PNSJAVG,Pensjonsgruppens avgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjavg
PT1,Pensjonstype 1,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt1
PT1DATO,Endringsdato for pensjonstype 1,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt1dato
PT2,Pensjonstype 2,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt2
PT2DATO,Endringsdato for pensjonstype 2,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt2dato
PT3,Pensjonstype 3,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt3
PT3DATO,Endringsdato for pensjonstype 3,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt3dato
APD,Alderspensjonsdel,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,apd
APDDATO,Endringsdato for alderspensjondel,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,apddato
GPFAK,Grunnpensjonsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfak
GPFDATO,Endringsdato for grunnpensjon-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfdato
STFAK,Særtilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,stfak
STFDATO,Endringsdato for særtilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,stfdato
TPFAK,Tilleggspensjonsfaktor (inkl. garantitillegg),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfak
TPFDATO,Endringsdato for tilleggspensjon-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfdato
AFPTILL,Avtalefestet pensjonstillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,afptill
AFPTDATO,Endringsdato for avtalefestet pensjons-tillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,afptdato
ETFAK,Ektefelletilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfak
ETFDATO,Endringsdato for ektefelletillegg-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfdato
MRK_FNR,Miniregisterkontroll - fødselsnummer,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
AFP_TYPE,"Type avtalefestet pensjon, offentlig ordning",,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,afp_type
AFPTDATO,Dato for AFP-type,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,afptdato
PNSJTOM,Til og med dato gruppetilfelle,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjtom
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,lnr
PNSJKODE,Kode for pensjon,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjkode
REGDATO,Registreringsdato for pensjon og stønder,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,regdato
PNSJTILG,Pensjonsgruppens tilgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjtilg
PNSJAVG,Pensjonsgruppens avgangsdato,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pnsjavg
PT1,Pensjonstype 1,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt1
PT1DATO,Endringsdato for pensjonstype 1,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt1dato
PT2,Pensjonstype 2,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt2
PT2DATO,Endringsdato for pensjonstype 2,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt2dato
PT3,Pensjonstype 3,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt3
PT3DATO,Endringsdato for pensjonstype 3,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,pt3dato
APD,Alderspensjonsdel,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,apd
APDDATO,Endringsdato for alderspensjondel,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,apddato
GPFAK,Grunnpensjonsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfak
GPFDATO,Endringsdato for grunnpensjon-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,gpfdato
STFAK,Særtilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,stfak
STFDATO,Endringsdato for særtilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,stfdato
TPFAK,Tilleggspensjonsfaktor (inkl. garantitillegg),,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfak
TPFDATO,Endringsdato for tilleggspensjon-faktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,tpfdato
AFPTILL,Avtalefestet pensjonstillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,afptill
AFPTDATO,Endringsdato for avtalefestet pensjons-tillegg,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,afptdato
ETFAK,Ektefelletilleggsfaktor,,,1992,2010,SSB_variabelliste_FD-Trygd.xlsm,etfak
