date,yrke4,alder_gr,count
2015-01-16,2421,1,21
2015-01-16,2421,2,136
2015-01-16,2421,3,1050
2015-01-16,2421,4,770
2015-01-16,2421,5,1232
2015-01-16,2421,6,2020
2015-01-16,2421,7,2057
2015-01-16,2421,8,1166
2015-01-16,2421,9,83
2015-01-16,2422,0,6
2015-01-16,2422,1,97
2015-01-16,2422,2,476
2015-01-16,2422,3,3737
2015-01-16,2422,4,5301
2015-01-16,2422,5,9541
2015-01-16,2422,6,17230
2015-01-16,2422,7,16649
2015-01-16,2422,8,10587
2015-01-16,2422,9,404
2015-01-16,2423,1,19
2015-01-16,2423,2,126
2015-01-16,2423,3,735
2015-01-16,2423,4,939
2015-01-16,2423,5,1678
2015-01-16,2423,6,2950
2015-01-16,2423,7,2597
2015-01-16,2423,8,1418
2015-01-16,2423,9,53
2015-01-16,2424,2,29
2015-01-16,2424,3,77
2015-01-16,2424,4,60
2015-01-16,2424,5,138
2015-01-16,2424,6,227
2015-01-16,2424,7,198
2015-01-16,2424,8,88
2015-01-16,2431,1,38
2015-01-16,2431,2,233
2015-01-16,2431,3,827
2015-01-16,2431,4,773
2015-01-16,2431,5,1224
2015-01-16,2431,6,1495
2015-01-16,2431,7,882
2015-01-16,2431,8,327
2015-01-16,2431,9,10
2015-01-16,2432,1,36
2015-01-16,2432,2,121
2015-01-16,2432,3,421
2015-01-16,2432,4,424
2015-01-16,2432,5,737
2015-01-16,2432,6,928
2015-01-16,2432,7,518
2015-01-16,2432,8,249
2015-01-16,2432,9,11
2015-01-16,2433,1,5
2015-01-16,2433,2,23
2015-01-16,2433,3,194
2015-01-16,2433,4,223
2015-01-16,2433,5,425
2015-01-16,2433,6,946
2015-01-16,2433,7,791
2015-01-16,2433,8,373
2015-01-16,2433,9,27
2015-01-16,2434,1,6
2015-01-16,2434,2,21
2015-01-16,2434,3,57
2015-01-16,2434,4,42
2015-01-16,2434,5,77
2015-01-16,2434,6,114
2015-01-16,2434,7,62
2015-01-16,2434,8,11
2015-01-16,2511,1,13
2015-01-16,2511,2,325
2015-01-16,2511,3,1932
2015-01-16,2511,4,2242
2015-01-16,2511,5,4246
2015-01-16,2511,6,5803
2015-01-16,2511,7,4069
2015-01-16,2511,8,1307
2015-01-16,2511,9,33
2015-01-16,2512,1,22
2015-01-16,2512,2,102
2015-01-16,2512,3,536
2015-01-16,2512,4,583
2015-01-16,2512,5,933
2015-01-16,2512,6,883
2015-01-16,2512,7,381
2015-01-16,2512,8,103
2015-01-16,2512,9,5
2015-01-16,2513,2,10
2015-01-16,2513,3,33
2015-01-16,2513,4,26
2015-01-16,2513,5,30
2015-01-16,2513,6,34
2015-01-16,2513,7,7
2015-01-16,2513,8,7
2015-01-16,2514,3,11
2015-01-16,2514,4,10
2015-01-16,2514,5,18
2015-01-16,2514,6,31
2015-01-16,2514,7,14
2015-01-16,2514,8,6
2015-01-16,2519,0,8
2015-01-16,2519,1,65
2015-01-16,2519,2,481
2015-01-16,2519,3,1755
2015-01-16,2519,4,1725
2015-01-16,2519,5,3033
2015-01-16,2519,6,3677
2015-01-16,2519,7,2189
2015-01-16,2519,8,662
2015-01-16,2519,9,7
2015-01-16,2521,2,6
2015-01-16,2521,3,30
2015-01-16,2521,4,43
2015-01-16,2521,5,63
2015-01-16,2521,6,114
2015-01-16,2521,7,93
2015-01-16,2521,8,27
2015-01-16,2522,2,10
2015-01-16,2522,3,67
2015-01-16,2522,4,87
2015-01-16,2522,5,150
2015-01-16,2522,6,217
2015-01-16,2522,7,163
2015-01-16,2522,8,50
2015-01-16,2529,1,5
2015-01-16,2529,2,68
2015-01-16,2529,3,249
2015-01-16,2529,4,235
2015-01-16,2529,5,456
2015-01-16,2529,6,635
2015-01-16,2529,7,445
2015-01-16,2529,8,122
2015-01-16,2611,1,5
2015-01-16,2611,2,91
2015-01-16,2611,3,1288
2015-01-16,2611,4,1139
2015-01-16,2611,5,1381
2015-01-16,2611,6,1944
2015-01-16,2611,7,753
2015-01-16,2611,8,489
2015-01-16,2611,9,36
2015-01-16,2612,3,57
2015-01-16,2612,4,85
2015-01-16,2612,5,64
2015-01-16,2612,6,188
2015-01-16,2612,7,206
2015-01-16,2612,8,237
2015-01-16,2612,9,6
2015-01-16,2619,2,28
2015-01-16,2619,3,131
2015-01-16,2619,4,118
2015-01-16,2619,5,105
2015-01-16,2619,6,154
2015-01-16,2619,7,94
2015-01-16,2619,8,56
2015-01-16,2619,9,6
2015-01-16,2621,1,30
2015-01-16,2621,2,18
2015-01-16,2621,3,62
2015-01-16,2621,4,114
2015-01-16,2621,5,168
2015-01-16,2621,6,305
2015-01-16,2621,7,236
2015-01-16,2621,8,192
2015-01-16,2621,9,13
2015-01-16,2622,2,14
2015-01-16,2622,3,141
2015-01-16,2622,4,184
2015-01-16,2622,5,361
2015-01-16,2622,6,682
2015-01-16,2622,7,720
2015-01-16,2622,8,624
2015-01-16,2622,9,23
2015-01-16,2631,3,81
2015-01-16,2631,4,120
2015-01-16,2631,5,197
2015-01-16,2631,6,352
2015-01-16,2631,7,308
2015-01-16,2631,8,204
2015-01-16,2631,9,22
2015-01-16,2632,1,5
2015-01-16,2632,2,11
2015-01-16,2632,3,46
2015-01-16,2632,4,92
2015-01-16,2632,5,171
2015-01-16,2632,6,231
2015-01-16,2632,7,188
2015-01-16,2632,8,119
2015-01-16,2632,9,6
2015-01-16,2633,3,19
2015-01-16,2633,4,40
2015-01-16,2633,5,67
2015-01-16,2633,6,45
2015-01-16,2633,7,34
2015-01-16,2633,8,12
2015-01-16,2634,2,12
2015-01-16,2634,3,678
2015-01-16,2634,4,942
2015-01-16,2634,5,1409
2015-01-16,2634,6,1614
2015-01-16,2634,7,1062
2015-01-16,2634,8,706
2015-01-16,2634,9,39
2015-01-16,2635,1,18
2015-01-16,2635,2,368
2015-01-16,2635,3,1421
2015-01-16,2635,4,1269
2015-01-16,2635,5,1997
2015-01-16,2635,6,2612
2015-01-16,2635,7,2009
2015-01-16,2635,8,1110
2015-01-16,2635,9,49
2015-01-16,2636,2,14
2015-01-16,2636,3,89
2015-01-16,2636,4,172
2015-01-16,2636,5,311
2015-01-16,2636,6,651
2015-01-16,2636,7,706
2015-01-16,2636,8,612
2015-01-16,2636,9,49
2015-01-16,2641,1,8
2015-01-16,2641,2,18
2015-01-16,2641,3,108
2015-01-16,2641,4,115
