SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,10
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,8
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,9
02,10-19 sysselsette,47,Detaljhandel med unntak av motorvogner,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,25
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,15
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,6
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,4
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,5
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,0
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,7
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,7
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,8
02,10-19 sysselsette,49-53,Transport og lagring,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,5
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,6
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,9
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,5
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,5
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,3
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,4
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,5
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,8
02,10-19 sysselsette,55-56,Overnattings- og serveringsverksemd,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,7
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,68
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,64
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,46
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,68
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,50
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,73
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,59
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,70
02,10-19 sysselsette,58-63,Informasjon og kommunikasjon,SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,59
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,15
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,18
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,24
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,13
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,15
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,15
02,10-19 sysselsette,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,14
02,10-19 sysselsette,68-75+77-82+95.1,"Anna tenesteyting, inklusive veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,16
02,10-19 sysselsette,68-75+77-82+95.1,"Anna tenesteyting, inklusive veterinærtenester",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,18
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,21
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,20
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,20
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,18
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,19
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,19
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,18
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,19
03,20-49 sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,19
