SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2024,2024,16
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2025,2025,31
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2023,2023,2
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2024,2024,19
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2025,2025,4
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2023,2023,48
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2024,2024,28
00,Alle sysselsette,46,Agentur- og engroshandel med unntak av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2025,2025,33
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2021,2021,36
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2023,2023,32
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2024,2024,77
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,MforingSal,Marknadsføring eller sal,2025,2025,68
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2021,2021,20
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2023,2023,15
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2024,2024,6
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,ProdProsess,Produksjonsprosessar,2025,2025,45
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,OrgAdmProsess,Organisering av administrasjonsprosessar,2021,2021,11
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,StyringForetak,Styring av føretak,2021,2021,19
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Logistikk,Logistikk,2021,2021,11
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Logistikk,Logistikk,2023,2023,33
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Logistikk,Logistikk,2024,2024,69
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Logistikk,Logistikk,2025,2025,9
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2021,2021,10
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2023,2023,19
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2024,2024,67
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,IKTtryggleik,IKT-tryggleik,2025,2025,44
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,HRrekrutt,HR eller rekruttering,2021,2021,19
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,21
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2024,2024,9
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2025,2025,57
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2023,2023,8
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2024,2024,6
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2025,2025,7
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2023,2023,44
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2024,2024,72
