styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
1439,2,1322,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1439,3,1213,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1439,4,1114,0.9705,1,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1439,5,1219,0.9611,1,5,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
2111,1,2120,0.8404,2,5,Mathematics; Science; Analyzing Data or Information
2111,2,2131,0.8367,2,9,Science; Mathematics; Analyzing Data or Information
2111,3,2112,0.8303,2,1,Science; Mathematics; Analyzing Data or Information
2111,4,2114,0.8233,2,2,Science; Mathematics; Analyzing Data or Information
2111,5,2511,0.8186,2,2,Programming; Technology Design; Mathematics
2112,1,2120,0.8886,1,5,Mathematics; Science; Analyzing Data or Information
2112,2,2632,0.8793,1,3,Science; Analyzing Data or Information; Interpreting the Meaning of Information for Others
2112,3,2631,0.8459,1,1,Mathematics; Analyzing Data or Information; Active Learning
2112,4,2633,0.8411,1,3,Analyzing Data or Information; Interpreting the Meaning of Information for Others; Active Learning
2112,5,2111,0.8303,1,2,Science; Mathematics; Analyzing Data or Information
2113,1,2149,0.8373,2,5,Science; Mathematics; Operations Analysis
2113,2,2146,0.8364,2,4,Science; Mathematics; Complex Problem Solving
2113,3,2145,0.8224,2,1,Science; Mathematics; Operations Analysis
2113,4,2131,0.8188,2,9,Science; Mathematics; Analyzing Data or Information
2113,5,2144,0.8114,2,4,Science; Mathematics; Operations Analysis
2114,1,2131,0.9033,2,9,Science; Mathematics; Analyzing Data or Information
2114,2,2111,0.8233,2,2,Science; Mathematics; Analyzing Data or Information
2114,3,2146,0.8195,2,4,Science; Mathematics; Analyzing Data or Information
2114,4,2133,0.814,2,2,Science; Analyzing Data or Information; Interpreting the Meaning of Information for Others
2114,5,2113,0.7874,2,2,Science; Mathematics; Analyzing Data or Information
2120,1,2631,0.8954,5,1,Mathematics; Analyzing Data or Information; Processing Information
2120,2,2112,0.8886,5,1,Mathematics; Science; Analyzing Data or Information
