inst,inst_short,field,level,graduates,programmes,share_of_institution,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_q1_v1,share_q2_v1,share_q3_v1,share_q4_v1,share_q5_v1,share_q1_v2,share_q2_v2,share_q3_v2,share_q4_v2,share_q5_v2,top_occupations,top_codes
1173,NMBU,Lærerutdanninger og pedagogikk,Master-nivå,19.000000,1,0.009749,0.375554,0.354979,0.089109,0.083451,0.000000,0.009901,0.831683,0.069307,0.089109,0.000000,0.004243,0.837341,0.074965,0.083451,Lektorer mv. (videregående skole) (49%); Grunnskolelærere (31%); Universitets- og høyskolelektorer/-lærere (5%); Høyere saksbehandlere i offentlig og privat virksomhet (4%); Andre programvare- og applikasjonsutviklere (1%),2330;2341;2310;2422;2519
1173,NMBU,"Naturvitenskap, håndverk og teknikk",Bachelor-nivå,169.000000,10,0.086711,0.406035,0.412895,0.220302,0.226975,0.044891,0.090170,0.352144,0.292494,0.220302,0.054879,0.120672,0.325034,0.272439,0.226975,Butikkmedarbeidere (11%); Høyere saksbehandlere i offentlig og privat virksomhet (9%); Bygningsingeniører (7%); Andre ingeniører (5%); Sivilingeniører (bygg og anlegg) (4%),5223;2422;3112;3119;2142
1173,NMBU,"Naturvitenskap, håndverk og teknikk",Master-nivå,532.000000,27,0.272960,0.499496,0.560815,0.341504,0.453491,0.003413,0.008293,0.169381,0.477409,0.341504,0.003575,0.010499,0.168549,0.363886,0.453491,Høyere saksbehandlere i offentlig og privat virksomhet (14%); Sivilingeniører (bygg og anlegg) (10%); Landskapsarkitekter (7%); Andre ingeniører (5%); Systemanalytikere/-arkitekter (4%),2422;2142;2162;3119;2511
1173,NMBU,Ph.d.,Ph.d.,101.000000,12,0.051821,0.490066,0.498640,0.228317,0.168433,0.012807,0.013090,0.066585,0.679200,0.228317,0.010145,0.016379,0.163927,0.641116,0.168433,"Universitets- og høyskolelektorer/-lærere (35%); Legespesialister (9%); Andre sivilingeniører (unntatt elektroteknologi) (8%); Høyere saksbehandlere i offentlig og privat virksomhet (5%); Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.) (3%)",2310;2212;2149;2422;2146
1173,NMBU,Primærnæringsfag,Bachelor-nivå,59.000000,4,0.030272,0.341564,0.304100,0.159327,0.213264,0.079740,0.195082,0.427273,0.138578,0.159327,0.120298,0.415551,0.153014,0.097873,0.213264,Skogteknikere (25%); Høyere saksbehandlere i offentlig og privat virksomhet (11%); Dyrepleiere (6%); Skogbrukere (5%); Butikkmedarbeidere (4%),3143;2422;3240;6210;5223
1173,NMBU,Primærnæringsfag,Master-nivå,95.000000,6,0.048743,0.403470,0.420386,0.271534,0.347087,0.102188,0.085111,0.288908,0.252260,0.271534,0.107011,0.221836,0.116344,0.207722,0.347087,"Høyere saksbehandlere i offentlig og privat virksomhet (20%); Skogteknikere (14%); Ledere i skogbruk, gartnerier mv. (4%); Sivilingeniører (bygg og anlegg) (3%); Finansanalytikere (3%)",2422;3143;1311;2142;2413
1173,NMBU,Samfunnsfag og juridiske fag,Bachelor-nivå,43.000000,2,0.022063,0.454983,0.502116,0.434295,0.508151,0.052539,0.096711,0.252153,0.164302,0.434295,0.070773,0.068571,0.271777,0.080728,0.508151,Høyere saksbehandlere i offentlig og privat virksomhet (14%); Butikkmedarbeidere (11%); Kontormedarbeidere (6%); Barnehage- og skolefritidsassistenter mv. (5%); Servitører (3%),2422;5223;4110;5311;5131
1173,NMBU,Samfunnsfag og juridiske fag,Master-nivå,162.000000,6,0.083120,0.520649,0.641933,0.427282,0.664574,0.015516,0.012074,0.091504,0.453625,0.427282,0.013633,0.013255,0.092444,0.216094,0.664574,Høyere saksbehandlere i offentlig og privat virksomhet (32%); Arealplanleggere (11%); Finans- og investeringsrådgivere (8%); Organisasjonsrådgivere mv. (6%); Sivilarkitekter (6%),2422;2164;2412;2421;2161
1173,NMBU,Økonomiske og administrative fag,Bachelor-nivå,512.000000,4,0.262699,0.546131,0.586224,0.497887,0.615351,0.022190,0.035454,0.165413,0.279055,0.497887,0.019715,0.037806,0.167900,0.159228,0.615351,Regnskapsførere (13%); Høyere saksbehandlere i offentlig og privat virksomhet (7%); Regnskapsmedarbeidere (5%); Kontormedarbeidere (5%); Butikkmedarbeidere (4%),3313;2422;4311;4110;5223
1173,NMBU,Økonomiske og administrative fag,Master-nivå,95.000000,3,0.048743,0.582768,0.684094,0.605758,0.814887,0.009538,0.005926,0.039950,0.338828,0.605758,0.011674,0.004860,0.035973,0.132606,0.814887,"Revisorer, regnskapsrådgivere (10%); Høyere saksbehandlere i offentlig og privat virksomhet (9%); Regnskapsmedarbeidere (7%); Regnskapsførere (6%); Finansanalytikere (5%)",2411;2422;4311;3313;2413
