inst,inst_short,inst_name,inst_type,year,graduates_exact,phd,students_autumn_exact,graduates_rows,programmes,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_employed,share_i_utdanning,handa_augmentation_w,handa_automation_w,exposure_w_recent,share_q1_v1,share_q1_v2,share_q2_v1,share_q2_v2,share_q3_v1,share_q3_v2,share_q4_v1,share_q4_v2,share_q5_v1,share_q5_v2,coverage_profile,share_bachelor,share_master,share_phd
8224,DMMH,Dronning Mauds Minne Høgskole,Private høyskoler,2025,286,0,839,286.000000,10,0.286050,0.198597,0.033958,0.039289,0.933738,0.013500,0.575701,0.412198,0.285386,0.019667,0.007583,0.666428,0.648852,0.178929,0.208617,0.101018,0.095659,0.033958,0.039289,1.000000,0.755245,0.244755,0.000000
6220,KHiO,Kunsthøgskolen i Oslo,Statlige vitenskapelige høyskoler,2025,234,6.000000,611,240.000000,20,0.393567,0.411973,0.245997,0.340004,0.621647,0.033337,0.596793,0.371224,0.415858,0.061510,0.095097,0.148892,0.114972,0.339833,0.330902,0.203769,0.119025,0.245997,0.340004,0.979167,0.587500,0.387500,0.025000
1210,NMH,Norges musikkhøgskole,Statlige vitenskapelige høyskoler,2025,225,6.000000,794,220.000000,21,0.413729,0.367577,0.241103,0.099540,0.736683,0.018702,0.604123,0.377615,0.400190,0.023317,0.024599,0.044831,0.039611,0.553976,0.559492,0.136774,0.276758,0.241103,0.099540,1.000000,0.554545,0.418182,0.027273
1302,KRUS,Kriminalomsorgens høgskole og utdanningssenter KRUS,Statlige høyskoler,2025,193,0,431,193.000000,2,0.308191,0.209306,0.054727,0.056821,0.967464,0.008134,0.284958,0.296214,0.293151,0.028520,0.012286,0.013874,0.777325,0.855859,0.080624,0.047019,0.072945,0.054727,0.056821,1.000000,1.000000,0.000000,0.000000
8221,MF,MF vitenskapelig høyskole,Private vitenskapelige høyskoler,2025,179,5.000000,955,178.000000,13,0.372810,0.376906,0.122746,0.160985,0.847557,0.033700,0.631524,0.343339,0.356601,0.048202,0.049172,0.056256,0.060259,0.660040,0.473995,0.112756,0.255589,0.122746,0.160985,1.000000,0.308989,0.662921,0.028090
1220,AHO,Arkitektur- og designhøgskolen i Oslo,Statlige vitenskapelige høyskoler,2025,141,6.000000,892,144.000000,5,0.514181,0.634932,0.312415,0.803162,0.836977,0.012017,0.643955,0.344029,0.523604,0.002144,0.002033,0.003229,0.003871,0.046387,0.048559,0.635825,0.142376,0.312415,0.803162,1.000000,0.000000,0.958333,0.041667
1409,NOROFF,Noroff,Private høyskoler,2025,120,0,710,115.000000,9,0.572747,0.646404,0.694560,0.742239,0.755666,0.048127,0.717508,0.254340,0.698758,0.037290,0.032377,0.027430,0.045808,0.154698,0.139630,0.086022,0.039946,0.694560,0.742239,1.000000,1.000000,0.000000,0.000000
8234,FIH,Fjellhaug Internasjonale Høgskole,Private høyskoler,2025,84,0,331,80.000000,10,0.349314,0.355914,0.142242,0.191933,0.751351,0.068721,0.629203,0.331961,0.320354,0.099094,0.103270,0.111186,0.106668,0.568203,0.397329,0.079275,0.200799,0.142242,0.191933,1.000000,0.850000,0.150000,0.000000
1412,LIMPI,Lillehammer Institute of Music Production Industries,Private høyskoler,2025,64,0,71,64.000000,1,0.420510,0.377798,0.262911,0.134684,0.745283,0.012864,0.599404,0.377990,0.354930,0.036385,0.020262,0.045775,0.053635,0.487089,0.501788,0.167840,0.289631,0.262911,0.134684,1.000000,1.000000,0.000000,0.000000
8232,ATH,Ansgar høyskole,Private høyskoler,2025,64,0,398,61.000000,4,0.369100,0.368567,0.203546,0.234971,0.756691,0.096190,0.622698,0.303825,0.364148,0.112201,0.069153,0.103281,0.157803,0.462815,0.397286,0.118157,0.140787,0.203546,0.234971,1.000000,0.918033,0.081967,0.000000
