styrk08,eloundou_beta,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
2351,0.4875,74.75,4,1,0,0,
2352,0.312962,47.47,3,5,0,0,
2353,0.405465,60.1,4,3,1,6,
2354,0.36,53.54,3,1,1,6,
2355,0.405992,61.36,4,2,1,6,
2356,0.552632,84.6,5,1,1,2,
2359,0.370729,55.05,3,2,1,3,
2411,0.568333,87.37,5,3,0,0,
2412,0.498718,77.53,4,2,1,2,
2413,0.517664,80.81,5,3,1,2,
2421,0.466311,69.7,4,2,0,0,
2422,0.56642,87.12,5,1,1,2,
2423,0.488693,75.25,4,4,1,2,
2424,0.552632,84.85,5,1,1,2,
2431,0.700863,94.44,5,2,1,2,
2432,0.590909,88.38,5,1,0,0,
2433,0.517675,81.06,5,2,1,9,
2434,0.515571,79.8,4,3,1,9,
2511,0.62602,91.41,5,2,0,0,
2512,0.872807,98.99,5,2,0,0,
2513,0.841346,98.74,5,1,1,2,
2514,0.95,99.75,5,1,0,0,
2519,0.764845,96.72,5,1,1,2,
2521,0.923365,99.49,5,1,0,0,
2522,0.72973,95.2,5,1,1,2,
2523,0.635223,91.92,5,1,0,0,
2529,0.70851,94.95,5,2,1,2,
2611,0.425,63.38,4,1,0,0,
2612,0.458333,67.93,4,2,0,0,
2619,0.5,78.28,4,1,0,0,
2621,0.5,78.54,4,2,0,0,
2622,0.535088,83.08,5,2,0,0,
2631,0.552632,85.1,5,1,0,0,
2632,0.492706,76.52,4,3,0,0,
2633,0.492036,76.26,4,3,1,2,
2634,0.441462,66.16,4,3,0,0,
2635,0.271629,42.93,3,8,0,0,
2636,0.386364,56.82,3,2,0,0,
2641,0.741399,95.71,5,3,1,2,
2642,0.648529,92.17,5,2,1,2,
2643,0.701628,94.7,5,2,1,2,
2651,0.34181,51.01,3,2,1,5,
2652,0.559345,86.11,5,2,0,0,
2653,0.146131,23.23,2,2,0,0,
2654,0.499121,77.78,4,3,0,0,
2655,0.1875,28.28,2,1,0,0,
2656,0.65,92.42,5,2,0,0,
2659,0.526316,81.57,5,1,1,3,
3112,0.425714,63.64,4,5,1,3,
3113,0.396508,58.84,3,2,1,4,
3114,0.40566,60.35,4,1,1,4,
3115,0.356357,52.78,3,4,1,4,
3116,0.334387,50.0,3,1,1,4,
3117,0.389754,57.32,3,2,1,4,
3118,0.509867,78.79,4,4,1,2,
3119,0.363616,54.29,3,10,1,4,
3121,0.416667,62.37,4,1,1,2,
3122,0.4,59.6,3,1,1,3,
3123,0.416667,62.63,4,1,1,2,
3131,0.312103,46.97,3,4,1,3,
3132,0.217399,32.83,2,4,1,3,
3133,0.151515,24.24,2,1,0,0,
3134,0.202026,31.06,2,4,1,2,
3135,0.104167,17.42,1,1,1,2,
3139,0.803571,97.98,5,1,1,2,
3141,0.436111,65.91,4,2,0,0,
3142,0.383433,56.31,3,1,0,0,
3143,0.326923,49.24,3,1,0,0,
3151,0.251255,38.89,2,2,1,17,
3152,0.297135,45.96,3,2,1,17,
3153,0.307181,46.46,3,3,1,17,
3154,0.335772,50.51,3,2,1,17,
3155,0.40566,60.61,4,1,1,4,
3211,0.314571,47.73,3,5,0,0,
3212,0.254297,39.65,2,2,0,0,
3213,0.426471,63.89,4,1,0,0,
3214,0.163865,26.52,2,4,0,0,
3230,0.358012,53.28,3,1,1,3,
3240,0.193078,28.79,2,2,1,2,
3251,0.227083,35.61,2,2,1,2,
3254,0.285714,44.44,3,1,0,0,
3256,0.343961,52.27,3,2,0,0,
3257,0.357678,53.03,3,4,1,17,
3258,0.18109,27.53,2,1,0,0,
3259,0.312237,47.22,3,10,1,3,
3311,0.571403,87.63,5,2,1,9,
3312,0.607955,90.15,5,2,0,0,
3313,0.802326,97.47,5,1,1,2,
3315,0.517083,80.3,5,3,0,0,
3321,0.561408,86.36,5,3,1,9,
