styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
7125,-1.388901,5.87,1,-1.267038,7.4,1,-1.279049,8.67,1,1,0,0,
7126,-1.173415,9.69,1,-1.150302,11.73,1,-0.90392,15.05,1,2,0,0,
7127,-0.434814,38.52,2,-0.505169,36.48,2,-0.24595,41.84,3,2,1,11,
7131,-1.65776,1.28,1,-1.473231,1.53,1,-1.55437,4.08,1,2,0,0,
7132,-1.284442,8.16,1,-1.423395,2.55,1,-0.545904,31.63,2,2,1,2,
7211,-1.443244,4.85,1,-1.374936,3.83,1,-1.479204,4.85,1,2,1,2,
7212,-1.100004,12.76,1,-1.172826,10.2,1,-0.736796,22.19,2,2,0,0,
7213,-0.998213,17.35,1,-1.10075,13.27,1,-0.526879,32.4,2,3,1,2,
7214,-1.609123,2.3,1,-1.519924,1.28,1,-1.468174,5.1,1,3,0,0,
7215,-1.221519,9.18,1,-1.277513,6.89,1,-0.558691,29.85,2,1,0,0,
7221,-0.804668,26.02,2,-0.880991,24.74,2,-0.636121,27.81,2,1,1,3,
7222,-0.583198,33.67,2,-0.768557,27.3,2,-0.035829,49.49,3,6,1,2,
7223,-0.921491,21.43,2,-1.029698,17.6,1,-0.672054,25.51,2,11,1,3,
7224,-1.013724,16.84,1,-1.158376,10.71,1,-0.641753,27.3,2,2,1,2,
7231,-0.938792,20.41,2,-0.949522,21.17,2,-0.752994,21.68,2,10,1,11,
7232,-0.337818,40.56,3,-0.464365,37.76,2,-0.046818,48.47,3,2,1,11,
7233,-1.047415,15.82,1,-1.089484,14.03,1,-0.771885,20.92,2,9,1,11,
7234,-0.471562,37.76,2,-0.468443,37.5,2,-0.388552,36.22,2,2,1,11,
7311,-0.11379,46.94,3,-0.407529,39.03,2,0.644053,69.13,4,4,1,11,
7312,-0.275572,42.35,3,-0.349294,41.58,3,-0.300351,40.05,3,2,1,11,
7313,-0.15602,44.64,3,-0.636654,32.14,2,1.03542,84.44,5,1,0,0,
7314,-1.056468,15.05,1,-1.0793,15.56,1,-0.446886,34.69,2,2,1,6,
7315,-1.092639,13.52,1,-1.135503,12.24,1,-0.780724,20.66,2,3,1,6,
7316,-0.805041,25.77,2,-0.862823,25.26,2,-0.375668,38.01,2,2,1,2,
7317,-0.929528,20.66,2,-0.917362,22.45,2,-0.234045,42.09,3,1,1,5,
7318,-0.990912,17.86,1,-1.006982,18.62,1,-0.958066,14.03,1,1,1,3,
7319,-0.929528,20.92,2,-0.917362,22.7,2,-0.234045,42.35,3,1,1,5,
7321,0.377286,60.71,4,-0.033259,50.0,3,1.697437,96.94,5,2,0,0,
7322,-0.709388,29.34,2,-0.84434,25.51,2,-0.224211,43.11,3,1,0,0,
