date,sector,age_group,ai_q,variable,value,value_index
2021-05-16,1,1,all,stillingspst,66.69070519710709,1.0170679450513844
2021-06-16,1,1,all,stillingspst,65.5404137974433,0.9995254028544087
2021-07-16,1,1,all,stillingspst,66.09825590766759,1.0080327852104969
2021-08-16,1,1,all,stillingspst,70.57207497634491,1.0762608531738374
2021-09-16,1,1,all,stillingspst,65.95180520021937,1.005799335742007
2021-10-16,1,1,all,stillingspst,65.2768210692015,0.99550547663454
2021-11-16,1,1,all,stillingspst,65.05180103369901,0.992073804043472
2021-12-16,1,1,all,stillingspst,65.05621094557439,0.9921410574934948
2022-01-16,1,1,all,stillingspst,65.92205739657355,1.0053456662623632
2022-02-16,1,1,all,stillingspst,65.53429711147817,0.999432120211697
2022-03-16,1,1,all,stillingspst,65.30878980244617,0.9959930164458369
2022-04-16,1,1,all,stillingspst,66.44782073261113,1.0133638306255481
2022-05-16,1,1,all,stillingspst,65.13608207342925,0.9933591337401949
2022-06-16,1,1,all,stillingspst,65.90447688419799,1.005077554303704
2022-07-16,1,1,all,stillingspst,67.09355829530703,1.0232116643527898
2022-08-16,1,1,all,stillingspst,70.71092055315582,1.078378320444114
2022-09-16,1,1,all,stillingspst,65.97423632547637,1.0061414220702727
2022-10-16,1,1,all,stillingspst,65.57153386024542,1.0
2022-11-16,1,1,all,stillingspst,65.62362063412907,1.0007943503959302
2022-12-16,1,1,all,stillingspst,65.92335886754142,1.0053655143716151
2023-01-16,1,1,all,stillingspst,66.67218100878593,1.0167854415436788
2023-02-16,1,1,all,stillingspst,66.14059649550427,1.0086785011994948
2023-03-16,1,1,all,stillingspst,65.5593411891078,0.9998140554228362
2023-04-16,1,1,all,stillingspst,67.13445755296294,1.023835399306788
2023-05-16,1,1,all,stillingspst,65.843978395938,1.004154920887976
2023-06-16,1,1,all,stillingspst,65.64213975404735,1.0010767766078557
2023-07-16,1,1,all,stillingspst,66.93956601713535,1.0208632020078354
2023-08-16,1,1,all,stillingspst,72.36202306748682,1.1035584926488706
2023-09-16,1,1,all,stillingspst,69.09228995806684,1.0536933618988586
2023-10-16,1,1,all,stillingspst,66.97371885552056,1.0213840505586411
2023-11-16,1,1,all,stillingspst,66.44790211172415,1.0133650716993527
2023-12-16,1,1,all,stillingspst,67.33641018944533,1.0269152820637297
2024-01-16,1,1,all,stillingspst,67.02383073170758,1.0221482827374067
2024-02-16,1,1,all,stillingspst,66.55403006413187,1.0149835781786112
2024-03-16,1,1,all,stillingspst,67.57053213169375,1.0304857634672517
2024-04-16,1,1,all,stillingspst,66.26764859394926,1.0106161117900259
2024-05-16,1,1,all,stillingspst,66.9678805469774,1.0212950133164194
2024-06-16,1,1,all,stillingspst,66.92311946226783,1.0206123834910297
2024-07-16,1,1,all,stillingspst,66.19265791007908,1.009472464852774
2024-08-16,1,1,all,stillingspst,72.31186730239055,1.102793591141409
2024-09-16,1,1,all,stillingspst,68.83094128218926,1.0497076586448428
2024-10-16,1,1,all,stillingspst,67.16945853098788,1.02436918242828
2024-11-16,1,1,all,stillingspst,66.95875401661634,1.021155828981026
2024-12-16,1,1,all,stillingspst,68.05115000285669,1.0378154360075844
2025-01-16,1,1,all,stillingspst,67.36561843554445,1.0273607230101223
