date,occ_group,age_group,count,percap,emp_index
2022-04-16,Home health aides,2,2188.0,0.0029209631168331846,0.9308557170405101
2022-05-16,Home health aides,2,2210.0,0.002950332947075566,0.9402153266268406
2022-06-16,Home health aides,2,2387.0,0.0031866265812983603,1.0155176401168637
2022-07-16,Home health aides,2,2363.0,0.003134937639549832,0.9990453516935315
2022-08-16,Home health aides,2,2380.0,0.0031574911477480322,1.0062327283244203
2022-09-16,Home health aides,2,2311.0,0.003065950438002396,0.9770604349402249
2022-10-16,Home health aides,2,2380.0,0.0031379332622244256,1.0
2022-11-16,Home health aides,2,2468.0,0.0032539576853654966,1.0369747899159663
2022-12-16,Home health aides,2,2475.0,0.0032631869008426274,1.0399159663865547
2023-01-16,Home health aides,2,2407.0,0.0031560218128703276,1.0057644790804376
2023-02-16,Home health aides,2,2375.0,0.0031140638992800283,0.9923932853411048
2023-03-16,Home health aides,2,2362.0,0.0030970184968839693,0.9869612378845009
2023-04-16,Home health aides,2,2322.0,0.00302972575893195,0.9655163146408763
2023-05-16,Home health aides,2,2444.0,0.0031889103164641193,1.0162454233343245
2023-06-16,Home health aides,2,2611.0,0.0034068104894794666,1.0856860885130613
2023-07-16,Home health aides,2,2511.0,0.003260094803712691,1.0389305734952652
2023-08-16,Home health aides,2,2545.0,0.0033042378635797683,1.0529981320372162
2023-09-16,Home health aides,2,2578.0,0.003347082598156638,1.0666519388573452
2023-10-16,Home health aides,2,2579.0,0.0033318562405447757,1.061799586579761
2023-11-16,Home health aides,2,2635.0,0.0034042036424333016,1.0848553356485733
2023-12-16,Home health aides,2,2685.0,0.003468799536976628,1.1054408258885842
2024-01-16,Home health aides,2,2648.0,0.003407426852273634,1.085882511681644
2024-02-16,Home health aides,2,2603.0,0.003349521184466869,1.0674290702066915
2024-03-16,Home health aides,2,2616.0,0.0033662494884999345,1.0727600644105666
2024-04-16,Home health aides,2,2689.0,0.0034496250825844605,1.0993302898160051
2024-05-16,Home health aides,2,2703.0,0.0034675851982989203,1.1050538391121838
2024-06-16,Home health aides,2,2886.0,0.003702349567995074,1.1798688049122317
2024-07-16,Home health aides,2,2901.0,0.0037100317929646236,1.1823169847578745
2024-08-16,Home health aides,2,2761.0,0.003530988548905662,1.1252592881477046
2024-09-16,Home health aides,2,2790.0,0.0035680760780321613,1.1370783824455257
2024-10-16,Home health aides,2,2853.0,0.0036373511210385,1.1591550288294041
2024-11-16,Home health aides,2,2933.0,0.0037393448433248933,1.1916584996693453
2024-12-16,Home health aides,2,2978.0,0.0037967163121109897,1.2099417020168124
2025-01-16,Home health aides,2,3029.0,0.003852699433478928,1.2277824642923785
2025-02-16,Home health aides,2,3039.0,0.0038654188109417172,1.2318358893973385
2025-03-16,Home health aides,2,3085.0,0.003923927947270549,1.2504816448801546
2025-04-16,Home health aides,2,3103.0,0.0039404125305880396,1.2557349699001408
