date,sector,age_group,ai_q,fte,percap,fte_index
2024-11-16,1,3,4,3973618.2541485187,5.4972079056565795,0.99954249848141
2024-12-16,1,3,4,3933248.7399306255,5.441359658917117,0.9893877622880911
2025-01-16,1,3,4,3920308.057211785,5.421274697651867,0.9857357679103068
2025-02-16,1,3,4,3924511.3659177674,5.427087325333572,0.986792662336609
2025-03-16,1,3,4,3911032.2683644383,5.408447491563719,0.9834034315966865
2025-04-16,1,3,4,3911173.1382408,5.40758042329733,0.9832457749105624
2025-05-16,1,3,4,3899372.9461596366,5.39126550052765,0.980279276472154
2025-06-16,1,3,4,3904238.6200511837,5.3979927718480685,0.9815024780863141
2025-07-16,1,3,4,3884267.8365287194,5.3693047845289525,0.9762862186663555
2025-08-16,1,3,4,3879417.6677795574,5.362600294682567,0.9750671593462225
2025-09-16,1,3,4,3884328.625733276,5.369388814719612,0.9763014976494613
2025-10-16,1,3,4,3870114.52868914,5.348668302116379,0.9725339426847055
2025-11-16,1,3,4,3892949.5171911907,5.380227259422348,0.9782722228400945
2025-12-16,1,3,4,3899744.125735735,5.3896177069344535,0.9799796626039153
2026-01-16,1,3,4,3876145.4013993563,5.355937324894442,0.9738556495063863
2026-02-16,1,3,4,3891933.6638120664,5.377753055522331,0.9778223450129468
2021-01-16,1,3,5,3987469.9525100193,5.512801481672502,0.9883894647459252
2021-02-16,1,3,5,3991930.8449396878,5.518968804483394,0.9894952032551455
2021-03-16,1,3,5,3994854.3081866284,5.523010583534093,0.9902198532984716
2021-04-16,1,3,5,4014634.518416553,5.557256747063733,0.9963598435290636
2021-05-16,1,3,5,4020543.5791987753,5.565436362854455,0.9978263657864125
2021-06-16,1,3,5,4011278.7408991903,5.552611512942306,0.9955270001041442
2021-07-16,1,3,5,4001754.2607575622,5.5464830764463215,0.9944282335172948
2021-08-16,1,3,5,4014013.5496622063,5.563474609161277,0.9974746432204523
2021-09-16,1,3,5,4025421.6721182596,5.579286414188142,1.0003095396989716
2021-10-16,1,3,5,4042644.3581681238,5.61030338017295,1.0058705675193433
2021-11-16,1,3,5,4044064.2378588356,5.612273861650537,1.0062238548886415
2021-12-16,1,3,5,4047133.257036947,5.616532986902054,1.0069874729042056
2022-01-16,1,3,5,4001240.5735394848,5.55688496167561,0.9962931861749055
2022-02-16,1,3,5,4000243.9038720047,5.555500796293602,0.9960450193425624
2022-03-16,1,3,5,4002671.31567266,5.55887196278133,0.9966494353461954
2022-04-16,1,3,5,4019562.7025580667,5.583478194365167,1.0010610834248388
2022-05-16,1,3,5,4011146.5280547165,5.571787488112588,0.9989650582126299
2022-06-16,1,3,5,4007601.720648194,5.566863481119253,0.9980822336355565
2022-07-16,1,3,5,3992757.7390410486,5.547423048337684,0.9945967609561422
2022-08-16,1,3,5,4002508.17662625,5.560970026573464,0.9970255969321702
2022-09-16,1,3,5,4008883.4287370658,5.569827618946948,0.9986136735233682
2022-10-16,1,3,5,4013606.553798919,5.577559937963948,1.0
2022-11-16,1,3,5,4034548.5049570687,5.606662189576513,1.0052177389281787
2022-12-16,1,3,5,4029370.9108483572,5.599467079371091,1.0039277285499042
2023-01-16,1,3,5,4007100.3020431823,5.56736566415354,0.9981722699668325
2023-02-16,1,3,5,4014284.712444695,5.577347505577918,0.9999619130249799
2023-03-16,1,3,5,4002558.134623824,5.561054889522199,0.9970408119992747
2023-04-16,1,3,5,4008460.2844337663,5.565891286567117,0.997907929000026
2023-05-16,1,3,5,4023990.7190150325,5.587455853602532,1.001774237435124
2023-06-16,1,3,5,4021610.3287215545,5.584150596058994,1.0011816382375718
2023-07-16,1,3,5,4007939.9486522228,5.561732195601923,0.9971622461187207
2023-08-16,1,3,5,4013638.972155244,5.569640608129637,0.9985801443781164
2023-09-16,1,3,5,4019355.686939299,5.577573570468118,1.0000024441699098
2023-10-16,1,3,5,4029028.517972415,5.5875304482507575,1.001787611499958
2023-11-16,1,3,5,4030509.510290928,5.5895843154885805,1.0021558490914257
2023-12-16,1,3,5,4044574.794495082,5.609090308906954,1.0056530761289346
2024-01-16,1,3,5,4020636.189326784,5.572483755490916,0.9990898919008506
2024-02-16,1,3,5,4023260.8571933773,5.576121468121812,0.9997420969280231
2024-03-16,1,3,5,4038897.749632768,5.597793742110733,1.003627716128887
2024-04-16,1,3,5,4037898.8554421514,5.593045024506062,1.002776319163639
2024-05-16,1,3,5,4029856.7072653,5.581905543687652,1.0007791230882388
2024-06-16,1,3,5,4033324.1378649,5.586708411752753,1.0016402286825346
2024-07-16,1,3,5,4016279.82419774,5.559649700300582,0.996788875805447
2024-08-16,1,3,5,4057348.708406347,5.616500472601456,1.006981643419456
2024-09-16,1,3,5,4073145.337295693,5.638367405911551,1.0109021630648403
2024-10-16,1,3,5,4075358.900175995,5.637958588761315,1.0108288662908416
2024-11-16,1,3,5,4098869.087908409,5.670483200236302,1.0166601996761822
2024-12-16,1,3,5,4124347.0039789826,5.705730018799356,1.0229795972183124
2025-01-16,1,3,5,4088848.0995205184,5.654343592640532,1.0137665315174744
2025-02-16,1,3,5,4101921.1319765765,5.672421891345969,1.0170077873545273
2025-03-16,1,3,5,4108050.1217728993,5.680897484799359,1.0185273754087407
2025-04-16,1,3,5,4108798.074075864,5.68081627770846,1.018512815799915
2025-05-16,1,3,5,4104851.4175480846,5.675359638019351,1.017534495575695
2025-06-16,1,3,5,4107662.159494793,5.67924576440362,1.0182312386725856
2025-07-16,1,3,5,4100003.0616531842,5.667520104687567,1.0161289466584302
2025-08-16,1,3,5,4098185.283484044,5.665007351851887,1.0156784355274648
2025-09-16,1,3,5,4104235.5167900794,5.673370716070005,1.0171779020165999
2025-10-16,1,3,5,4090452.867515108,5.653185566368663,1.0135589091369444
2025-11-16,1,3,5,4115866.8544774726,5.68830881284841,1.0198561514562388
2025-12-16,1,3,5,4118555.7220629193,5.692024945979937,1.0205224164848283
2026-01-16,1,3,5,4087422.981282561,5.647874122621714,1.012606621074418
2026-02-16,1,3,5,4089118.7440100946,5.650217274889243,1.0130267245414522
2021-01-16,1,3,all,21244027.47579681,29.370530070463204,1.0025294076702462
2021-02-16,1,3,all,21249621.092103492,29.378263419336207,1.0027933766774912
2021-03-16,1,3,all,21190204.625655815,29.296118302716003,0.9999894471974757
2021-04-16,1,3,all,21286789.226245247,29.46623223314814,1.0057960913916197
2021-05-16,1,3,all,21321067.340650473,29.513681703749064,1.0074157247295843
2021-06-16,1,3,all,21261004.97615604,29.43054039193099,1.0045777912673712
2021-07-16,1,3,all,21207359.622714445,29.393674268551706,1.0033194083663524
2021-08-16,1,3,all,21202658.909602787,29.38715901948289,1.0030970178009075
2021-09-16,1,3,all,21258480.39988443,29.4645283257857,1.0057379304651846
2021-10-16,1,3,all,21314312.93294944,29.579589817783628,1.0096654227215924
2021-11-16,1,3,all,21297237.826035224,29.55589331580366,1.0088565697646712
2021-12-16,1,3,all,21371021.883433882,29.6582893986523,1.0123517427846924
