date,sector,age_group,ai_q,employment,percap,emp_index
2026-03-16,1,3,3,87142.0,0.12041010902156941,0.9533695773979461
2026-04-16,1,3,3,87307.0,0.12061443499499898,0.954987366539762
2021-01-16,1,3,4,43191.0,0.05971290357812891,0.9801849012709974
2021-02-16,1,3,4,43516.0,0.06016222620698427,0.9875605140818393
2021-03-16,1,3,4,43334.0,0.059910605534825266,0.9834301709077679
2021-04-16,1,3,4,43294.0,0.05992970779872455,0.983743733798403
2021-05-16,1,3,4,43315.0,0.059958777043048785,0.9842209042702874
2021-06-16,1,3,4,41987.0,0.058120493401973665,0.9540455525244501
2021-07-16,1,3,4,43050.0,0.059667855865745245,0.9794454448910628
2021-08-16,1,3,4,43200.0,0.05987575780255969,0.9828581467896379
2021-09-16,1,3,4,43496.0,0.06028601762454019,0.9895925452028261
2021-10-16,1,3,4,43551.0,0.06043923255733268,0.9921075621384197
2021-11-16,1,3,4,43598.0,0.060504458245151445,0.9931782391704168
2021-12-16,1,3,4,43980.0,0.06103459043125282,1.001880337600691
2022-01-16,1,3,4,43303.0,0.06013879572419176,0.9871759036528278
2022-02-16,1,3,4,43555.0,0.060488770934281046,0.992920732595869
2022-03-16,1,3,4,43391.0,0.06026100928961976,0.9891820343948422
2022-04-16,1,3,4,43360.0,0.06023033658701242,0.9886785432199815
2022-05-16,1,3,4,43279.0,0.060117821428720256,0.9868316114395197
2022-06-16,1,3,4,41915.0,0.058223121726121436,0.9557301923216218
2022-07-16,1,3,4,43252.0,0.060093087877735325,0.9864256111987422
2022-08-16,1,3,4,43209.0,0.06003334491142758,0.9854449328189784
2022-09-16,1,3,4,43455.0,0.06037513025356026,0.9910553254101855
2022-10-16,1,3,4,43838.0,0.060920040189049736,1.0
2022-11-16,1,3,4,43762.0,0.06081442581215371,0.9982663442675304
2022-12-16,1,3,4,43794.0,0.060858895023478354,0.9989963045759387
2023-01-16,1,3,4,43347.0,0.060225245502592575,0.9885949732747871
2023-02-16,1,3,4,43343.0,0.060219688001911784,0.988503747125501
