styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
7222,"Verktøymaker, låsesmeder mv.",,"Verktøymaker, låsesmed",2261,2145,116,2258,3,295,1274,428,2024-11-01
7223,Metalldreiere mv.,,Metalldreier,2248,2065,183,2040,208,257,999,288,2024-11-01
7224,Metallslipere,,Metallsliper,64,59,5,64,0,5,19,8,2024-11-01
7231,Bilmekanikere,,Bilmekaniker,19580,19039,541,18516,1064,2622,11416,3428,2024-11-01
7232,Mekanikere innen flytekniske fag,,Flymekaniker,1140,1053,87,0,0,114,625,143,2024-11-01
7233,Anleggsmaskin- og industrimekanikere,,Anleggsmaskin- eller industrimekaniker,19857,18947,910,19106,751,2380,10255,3478,2024-11-01
7311,Presisjonsinstrumentmakere og -reparatører,,Presisjonsinstrumentmaker eller -reparatør,508,454,54,434,74,43,204,99,2024-11-01
7312,Musikkinstrumentmakere og -stemmere,,Musikkinstrumentmaker eller -stemmer,52,42,10,52,0,0,17,5,2024-11-01
7313,"Gull- og sølvsmeder, gravører mv.",,"Gull- eller sølvsmed, gravør",342,145,197,0,0,19,105,36,2024-11-01
7314,Keramikere mv.,,Keramiker,25,4,21,20,5,0,14,6,2024-11-01
7315,Glasshåndverkere,,Glasshåndverker,61,46,15,57,4,0,19,8,2024-11-01
7316,Dekormalere,,Dekormaler,12,7,5,0,0,0,5,0,2024-11-01
7317,Kunsthåndverkere i tre mv.,,Kunsthåndverker i tre,12,7,5,0,0,4,7,0,2024-11-01
7318,"Vevere, strikkere mv. (innen husflidsproduksjon)",,"Vever, strikker (innen husflidsproduksjon)",367,19,348,360,7,30,95,51,2024-11-01
7319,Andre kunsthåndverkere,,Kunsthåndverker,194,130,64,194,0,19,90,31,2024-11-01
7321,Førtrykkere,,Førtrykker,815,463,352,811,4,50,251,79,2024-11-01
7322,Trykkere,,Trykker,1011,758,253,998,13,80,350,101,2024-11-01
7323,Innbindere mv.,,Innbinder,188,142,46,0,0,9,45,10,2024-11-01
7411,Elektrikere,,Elektriker,29187,28102,1085,28323,864,5453,18738,5762,2024-11-01
7412,Automatikere,,Automatiker,5518,5194,324,5315,203,962,3458,1051,2024-11-01
7413,Energimontører,,Energimontører,3576,3420,156,3565,11,729,2201,645,2024-11-01
7421,Serviceelektronikere,,Serviceelektroniker,1642,1463,179,1637,5,134,694,238,2024-11-01
7422,Tele- og IKT-installatører,,Tele- eller IKT-installatør,2965,2783,182,2646,319,532,1942,603,2024-11-01
7511,"Slaktere, fiskehandlere mv.",,"Slakter, fiskehandler",1884,1500,384,0,0,142,799,209,2024-11-01
7512,"Bakere, konditorer mv.",,"Baker, konditor",1527,865,662,1520,7,154,797,238,2024-11-01
7513,Ystere mv. (gårdsproduksjon),,Yster (gårdsproduksjon),4,0,4,4,0,0,0,0,2024-11-01
