nus_kode,nus_kode_forelder,nus_niva,nus_aktiv,nus_navn_nb,nus_kortnavn_nb,nus_navn_en,isced2013_kode,isced2013_navn
743999,7439,5,True,"Kontorfag, andre, uspesifiserte, høyere nivå",Kontorfag,"Secretarial and office skills, other, unspecified, graduate level",0415,Secretarial and office work
744,74,3,True,Hotell- og reiselivsfag,,"Hotel, travel and tourism",,
7441,744,4,True,Reiselivsfag,,Travel and tourism,,
744101,7441,5,True,"Master, reiselivsfag, toårig",Reiseliv,"Master degree, travel and tourism",1015,"Travel, tourism and leisure"
744199,7441,5,True,"Reiselivsfag, uspesifiserte, høyere nivå",Reiseliv og turisme,"Travel and tourism, unspecified, graduate level",1015,"Travel, tourism and leisure"
7442,744,4,True,Hotell- og restaurantfag,,Hotel and restaurant,,
744201,7442,5,True,"Master of Science, hotell- og reiselivsadministrasjon, toårig",Hotell- og reiselivsadministrasjon,"Master of Science, hotel, travel and tourism management, two-year",1013,"Hotel, restaurants and catering"
744202,7442,5,True,"Master of Business Administration, hotell- og reiselivsadministrasjon",Hotell- og reiselivsadministrasjon,"Master of Business Administration, hotel, travel and tourism management",1013,"Hotel, restaurants and catering"
744203,7442,5,True,"Master, hotell- og reiselivsadministrasjon, toårig",Hotell- og reiselivsadministrasjon,"Master degree, hotel and tourism administration, two-year",1013,"Hotel, restaurants and catering"
744299,7442,5,True,"Hotell- og restaurantfag, uspesifisert, høyere nivå",Hotell- og restaurantfag,"Hotel and restaurant, unspecified, graduate level",1013,"Hotel, restaurants and catering"
7449,744,4,True,"Hotell- og reiselivsfag, andre",,"Hotel, travel and tourism, other",,
744999,7449,5,True,"Hotell- og reiselivsfag, andre, uspesifiserte, høyere nivå",Hotell- og reiseliv,"Hotel, travel and tourism, other, unspecified, graduate level",1013,"Hotel, restaurants and catering"
749,74,3,True,"Økonomiske og administrative fag, andre",,"Business and administration, other",,
7499,749,4,True,"Økonomiske og administrative fag, andre",,"Business and administration, other",,
749999,7499,5,True,"Økonomiske og administrative fag, andre, uspesifiserte, høyere nivå",Økonomisk-administrative fag,"Business and administration, other, unspecified, graduate level",0413,Management and administration
75,7,2,True,"Naturvitenskapelige fag, håndverksfag og tekniske fag",,"Natural sciences, vocational and technical subjects",,
751,75,3,True,Biologiske fag,,Biology,,
7511,751,4,True,Zoologiske fag,,Zoology,,
751105,7511,5,True,"Master of Philosophy, zoology",,"Master of Philosophy, zoology",0511,Biology
751106,7511,5,True,"Master of Science, zoology, toårig",,"Master of Science, zoology, two-year",0511,Biology
751199,7511,5,True,"Zoologiske fag, uspesifiserte, høyere nivå",Zoologiske fag,"Zoology, unspecified, graduate level",0511,Biology
7512,751,4,True,Botaniske fag,,Botany,,
751299,7512,5,True,"Botaniske fag, uspesifiserte, høyere nivå",,"Botany, unspecified, graduate level",0511,Biology
7513,751,4,True,Mikrobiologi og cellebiologi,,Microbiology and cell biology,,
751305,7513,5,True,"Master, molekylær biovitenskap, toårig",Molekylærbiologi,"Master degree, molecular biosciences, two-year",0511,Biology
751306,7513,5,True,"Master, cellebiologi, toårig",Cellebiologi,"Master degree, cell biology, two-year",0511,Biology
751307,7513,5,True,"Master, mikrobiologi, toårig",Mikrobiologi,"Master degree, microbiology, two-year",0511,Biology
751308,7513,5,True,"Master, biologisk kjemi, femårig",Biologisk kjemi,"Master degree, biological chemistry, five-year",0511,Biology
751309,7513,5,True,"Master of Science, mikrobiologi, toårig",Mikrobiologi,"Master of Science, microbiology, two-year",0511,Biology
751399,7513,5,True,"Mikrobiologi og cellebiologi, uspesifiserte, høyere nivå",,"Microbiology and cell biology, unspecified, graduate level",0511,Biology
7514,751,4,True,Miljø- og forurensningsstudier,,Environmental and pollution studies,,
751403,7514,5,True,"Master of Science, management of natural resources and sustainable agriculture, toårig",Bærekraftig landbruk,"Master of Science, management of natural resources and sustainable agriculture, two-year",0522,Natural environments and wildlife
751406,7514,5,True,"Master, forurensningsfag, toårig",Forurensningsfag,"Master degree, pollution studies, two-year",0712,Environmental protection technology
751407,7514,5,True,"Master, naturressursforvaltning, toårig",Naturressursforvaltning,"Master degree, natural resource management, two-year",0522,Natural environments and wildlife
751408,7514,5,True,"Master, teknologi, industriell økologi, femårig",Teknologi og industriell økologi,"Master degree, technology, industrial ecology, five-year",0712,Environmental protection technology
751409,7514,5,True,"Master, water studies, toårig",Vannforskning,"Master degree, water studies, two-year",0521,Environmental sciences
751410,7514,5,True,"Master, teknologi, vann- og miljøteknikk, femårig",Vann- og miljøteknikk,"Master degree, technology, hydraulic and environmental engineering, five-year",0712,Environmental protection technology
751411,7514,5,True,"Master, økologi og naturforvaltning, toårig",Økologi og naturforvaltning,"Master degree, ecology and nature management, two-year",0712,Environmental protection technology
751412,7514,5,True,"Master, tropical ecology and management of natural resources, toårig",Tropisk økologi forvaltning av utmarksressurser,"Master degree, tropical ecology and management of natural resources, two-year",0712,Environmental protection technology
751413,7514,5,True,"Master, management of natural resources and sustainable agriculture, toårig",Naturforvaltning og bærekraftig landbruk,"Master degree, management of natural resources and sustainable agriculture, two-year",0522,Natural environments and wildlife
751414,7514,5,True,"Master of Science, industrial ecology, toårig",Industriell økologi,"Master of Science, industrial ecology, two-year",0712,Environmental protection technology
751415,7514,5,True,"Master, mountain ecology and human adaptations, toårig",Mountain ecology and human adaptations,"Master degree, mountain ecology and human adaptations, two-year",0712,Environmental protection technology
751416,7514,5,True,"Master, technology, energy and environmental technology, toårig",Miljøvennlig energiproduksjon,"Master degree, technology, energy and environmental technology, two-year",0712,Environmental protection technology
751417,7514,5,True,"Master, anvendt økologi, toårig",Anvendt økologi,"Master degree, applied ecology, two-year",0712,Environmental protection technology
751418,7514,5,True,"Master, internasjonale miljøstudier, toårig",Internasjonale miljøstudier,"Master degree, international environmental studies, two-year",0521,Environmental sciences
751419,7514,5,True,"Master of Science, environmental technology, toårig",Miljøteknologi,"Master of Science, environmental technology, two-year",0712,Environmental protection technology
751420,7514,5,True,"Master, fornybar energi, toårig",Fornybar energi,"Master degree, renewable energy, two-year",0713,Electricity and energy
751421,7514,5,True,"Master, teknologi, fornybar energi, toårig",Fornybar energi,"Master degree, technology, renewable energy, two-year",0713,Electricity and energy
751422,7514,5,True,"Master, landskapsplanlegging, toårig",Landskapsplanlegging,"Master degree, landscape planning, two-year",0712,Environmental protection technology
751424,7514,5,True,"Master of Science, renewable energy in the marine environment, toårig",,"Master of Science, renewable energy in the marine environment, two-year",0713,Electricity and energy
751425,7514,5,True,"Master of  Science, prosess, energi- og miljøteknologi, toårig",,"Master of  Science, process, energy and environmental technology, two years",0712,Environmental protection technology
751499,7514,5,True,"Miljø- og forurensningsstudier, uspesifiserte, høyere nivå",Miljø- og forurensningsstudier,"Environmental and pollution studies, unspecified, graduate level",0712,Environmental protection technology
7515,751,4,True,Marin- og ferskvannsbiologi,,Marine and freshwater biology,,
751506,7515,5,True,"Master of Science, aquaculture, toårig",Fiskeri- og akvakultur,"Master of Science, aquaculture, two-year",0511,Biology
751507,7515,5,True,"Master, akvakultur, toårig",Fiskeri- og akvakultur,"Master degree, aquaculture, two-year",0511,Biology
751508,7515,5,True,"Master, marinbiologi, toårig",Marinbiologi,"Master degree, marine biology, two-year",0511,Biology
751509,7515,5,True,"Master, European Masters in aquaculture and fisheries, toårig",,"Master degree, European Masters in aquaculture and fisheries, two-year",0511,Biology
4559,455,4,True,"Utdanninger i elektrofag, mekaniske fag og maskinfag, andre",,"Electrical, electronic, mechanical and machine subjects, other",,
623115,6231,5,True,"Folkedansinstruksjon, lavere nivå",Folkedans,"Folk dance instruction, undergraduate level",0114,Teacher training with subject specialisation
456,45,3,True,Geofag,,Earth sciences,,
4561,456,4,True,Geologi,,Geology,,
623119,6231,5,True,"Faglærerutdanning, morsmål, ettårig","Faglærerutdanning, morsmål","Subject teacher training, mother tongue, one-year",0114,Teacher training with subject specialisation
4569,456,4,True,"Geofag, andre",,"Earth sciences, other",,
456999,4569,5,True,"Geofag, andre, uspesifiserte, videregående, avsluttende utdanning",,"Earth sciences, other, unspecified, upper secondary, final year",0532,Earth sciences
623125,6231,5,True,"Bachelor, yrkesfaglærerutdanning, design- og håndverksfag, treårig","Faglærerutdanning, design- og håndverksfag","Bachelor degree, vocational teacher training, arts, crafts and design, three-year",0114,Teacher training with subject specialisation
