age_bin,ai_q,k,coef,se,n_obs,n_occ
2,2,-4,0.00109295262784844,0.0166788298083948,24428,394
2,2,-3,-0.0097415561944737,0.0243161886719114,24428,394
2,2,-2,0.00237224306116832,0.013342007026774,24428,394
2,2,-1,0,0,24428,394
2,2,0,0.00332822123899454,0.00604059374657582,24428,394
2,2,1,0.0248879944367623,0.0150778193843806,24428,394
2,2,2,0.0138867888660492,0.0143194809464634,24428,394
2,2,3,0.017746035880987,0.0168964650352369,24428,394
2,2,4,0.0215877222467203,0.0188348438777389,24428,394
2,2,5,0.0211643109705916,0.0187633797697795,24428,394
2,2,6,0.0265114473810216,0.0169453196603929,24428,394
2,2,7,0.0350801207280562,0.0171281649090192,24428,394
2,2,8,0.018466656819795,0.0187041212024951,24428,394
2,2,9,0.00542410171724868,0.0224061827892507,24428,394
2,2,10,0.00841169628672659,0.0157219316885331,24428,394
2,2,11,0.011243902172295,0.0154063676113249,24428,394
2,2,12,0.0116443179883705,0.0180388851052393,24428,394
2,2,13,0.0332144411066709,0.0245399181089172,24428,394
2,2,14,0.0221462366425868,0.0274800342289464,24428,394
2,2,15,0.0217905673705617,0.0286667492090573,24428,394
2,2,16,0.0278828987031585,0.0294525646267198,24428,394
2,2,17,0.0298485277423413,0.029087371262485,24428,394
2,2,18,0.0320650992397132,0.0284676358154622,24428,394
2,2,19,0.0401330569559314,0.0285138117096486,24428,394
2,2,20,0.0321167645940317,0.029206351304219,24428,394
2,2,21,0.0131787421192184,0.0308061952606635,24428,394
2,2,22,0.0160270040763714,0.0283872799160347,24428,394
2,2,23,0.0190122442328789,0.0275729341550793,24428,394
2,2,24,0.0279442687627003,0.030022842977035,24428,394
2,2,25,0.0464042780293916,0.0353791726999146,24428,394
2,2,26,0.0440510818232773,0.0386918980089265,24428,394
2,2,27,0.043045066013523,0.0385222197789841,24428,394
2,2,28,0.0416948804368762,0.0380025238870071,24428,394
2,2,29,0.0393896357402526,0.0383728970799415,24428,394
2,2,30,0.0254611736267031,0.0356243929661603,24428,394
2,2,31,0.0452942238954094,0.0369946059286762,24428,394
2,2,32,0.0328382485518464,0.0361880343817288,24428,394
