age_group,k,coef,se,n_obs,n_occ
4,-21,0.032278173646623,0.00776100180037853,20332,391
4,-20,0.0308201177176865,0.00753512053103541,20332,391
4,-19,0.0365810371920454,0.00754217010808022,20332,391
4,-18,0.0284676563905363,0.00719857326094046,20332,391
4,-17,-0.00488127096262579,0.00630199318266135,20332,391
4,-16,0.0143505574798164,0.0057855384924609,20332,391
4,-15,0.018281046114261,0.00546587958309556,20332,391
4,-14,0.00694425841778238,0.00429471908076629,20332,391
4,-13,0.00382737343656057,0.00414444410214922,20332,391
4,-12,0.00426249334373264,0.00386792795148673,20332,391
4,-11,0.00662367194635873,0.00447065649880393,20332,391
4,-10,0.0299620485429306,0.00491667618389392,20332,391
4,-9,0.0183810820625389,0.00367027565759982,20332,391
4,-8,0.0136652804051007,0.00289670960003862,20332,391
4,-7,0.0106758974213673,0.00259548576232219,20332,391
4,-6,0.00711947699736893,0.0022223226681326,20332,391
4,-5,-0.0211532345926788,0.00296440523883015,20332,391
4,-4,0.00268556296527243,0.00277704547026079,20332,391
4,-3,0.010661743935911,0.00230175468119942,20332,391
4,-2,0.00215364914344339,0.00147288979153746,20332,391
4,-1,0,0,20332,391
4,0,0.00315987019539773,0.00155794411646195,20332,391
4,1,0.00567148550842288,0.00259938552433403,20332,391
4,2,0.0264088425810495,0.00473445662141722,20332,391
4,3,0.0158643189353459,0.0033868889352793,20332,391
4,4,0.0133777505250144,0.0032971551855553,20332,391
4,5,0.014384789443779,0.00375615581055591,20332,391
4,6,0.00915464150568581,0.00378316452952669,20332,391
4,7,-0.0145004159295849,0.00438396340946187,20332,391
4,8,0.00416815210760972,0.00530581758034447,20332,391
4,9,0.00948366902546018,0.00450240514791465,20332,391
4,10,0.00432128304872868,0.00408737965610996,20332,391
4,11,0.00367117587510729,0.00413382720503329,20332,391
4,12,0.0035269419546384,0.00437971411202477,20332,391
4,13,0.00708376504887086,0.00471756900308778,20332,391
4,14,0.0237865178143897,0.00719780698475061,20332,391
4,15,0.0163159888569226,0.00597917208281237,20332,391
4,16,0.0144517235599906,0.00619685807959976,20332,391
4,17,0.0126005091572947,0.00664984465619998,20332,391
4,18,0.00538116738405728,0.00608843154802885,20332,391
4,19,-0.0123682948674062,0.0072372904091072,20332,391
