age_bin,ai_q,k,coef,se,n_obs,n_occ
1,5,18,-0.0047635907704977835,0.027973940242433035,24366,393
1,5,19,-0.01888597069844796,0.02718200558518533,24366,393
1,5,20,-0.01857447931349806,0.028127056658232334,24366,393
1,5,21,-0.05943786302919426,0.02977068111799326,24366,393
1,5,22,-0.034710620328669756,0.0325952817481897,24366,393
1,5,23,-0.010586354545488539,0.03479582483771053,24366,393
1,5,24,-0.005416252599469793,0.034447179291559854,24366,393
1,5,25,0.008007023486192172,0.03508842528522994,24366,393
1,5,26,-0.0014280891464558256,0.04084101029086004,24366,393
1,5,27,0.010235584903489435,0.0401695781549662,24366,393
1,5,28,-0.00359936503887892,0.0405746077248026,24366,393
1,5,29,-0.013240574228016517,0.04188367681825263,24366,393
1,5,30,-0.048225462531224526,0.04084700919809654,24366,393
1,5,31,-0.056708578668802405,0.03958231138406428,24366,393
1,5,32,-0.04677968967510356,0.03854008835675554,24366,393
1,5,33,-0.0892003717085444,0.03828166570526765,24366,393
1,5,34,-0.0611315449863266,0.04354605165934732,24366,393
1,5,35,-0.043772971688457674,0.04643741331743315,24366,393
1,5,36,-0.04801952287698847,0.04642261761643895,24366,393
1,5,37,-0.052532962254779395,0.046040661288557584,24366,393
1,5,38,-0.06917026395239573,0.047727608751078676,24366,393
1,5,39,-0.052278368372369474,0.04924731248298611,24366,393
2,2,-22,-0.004432693095083151,0.04011719931224213,24428,394
2,2,-21,-0.015347628461253777,0.051340879510127675,24428,394
2,2,-20,-0.016457246320693952,0.051697937671864265,24428,394
2,2,-19,-0.019085382243033158,0.05559056130870011,24428,394
2,2,-18,-0.012812715943432917,0.05290431957752265,24428,394
2,2,-17,0.011549381176466374,0.03310009940848873,24428,394
2,2,-16,0.011128465534810117,0.024120792287065554,24428,394
2,2,-15,0.003115021633682721,0.027173223647405122,24428,394
2,2,-14,0.0077686009997807726,0.01989457855445015,24428,394
2,2,-13,0.005094391844974938,0.01413733204020053,24428,394
2,2,-12,0.011225987317600383,0.012980671791919605,24428,394
2,2,-11,0.026000099227477386,0.01540076567680649,24428,394
2,2,-10,0.0052362356646786234,0.020622061280735366,24428,394
2,2,-9,0.004104863116798477,0.02046527060216675,24428,394
2,2,-8,0.004787024792120398,0.018613910542123108,24428,394
2,2,-7,0.006871379971465959,0.014113526003520529,24428,394
2,2,-6,0.008437479260585967,0.009118106076594117,24428,394
2,2,-5,0.016014170716420216,0.010253723835932326,24428,394
2,2,-4,0.001092952627836527,0.016816380210714865,24428,394
2,2,-3,-0.009741556194482644,0.02451672443624945,24428,394
2,2,-2,0.0023722430611629354,0.01345203864123641,24428,394
2,2,-1,0.0,0.0,24428,394
2,2,0,0.003328221238985407,0.006090410559873311,24428,394
2,2,1,0.02488799443675982,0.015202166255652107,24428,394
2,2,2,0.013886788866040167,0.014437573761814293,24428,394
2,2,3,0.017746035880981337,0.017035810264660504,24428,394
2,2,4,0.02158772224671507,0.018990174935947752,24428,394
2,2,5,0.021164310970579303,0.018918121467838316,24428,394
2,2,6,0.02651144738101635,0.01708506779886449,24428,394
2,2,7,0.035080120728049724,0.017269420981982083,24428,394
2,2,8,0.018466656819796756,0.018858374193859835,24428,394
2,2,9,0.005424101717241059,0.02259096671659997,24428,394
2,2,10,0.008411696286722559,0.01585159054232655,24428,394
2,2,11,0.011243902172285769,0.015533423999656579,24428,394
2,2,12,0.011644317988357744,0.01818765188361768,24428,394
2,2,13,0.033214441106660164,0.02474229894367536,24428,394
2,2,14,0.022146236642582307,0.027706662187853705,24428,394
2,2,15,0.02179056737054641,0.02890316402352913,24428,394
2,2,16,0.02788289870315036,0.029695460067936455,24428,394
2,2,17,0.029848527742332487,0.02932725495773383,24428,394
2,2,18,0.0320650992397028,0.02870240855037633,24428,394
2,2,19,0.04013305695592595,0.02874896526793603,24428,394
2,2,20,0.032116764594025016,0.02944721623651086,24428,394
2,2,21,0.013178742119212217,0.03106025412197715,24428,394
2,2,22,0.016027004076358098,0.028621389959238224,24428,394
2,2,23,0.01901224423287079,0.027800328282094694,24428,394
2,2,24,0.027944268762693847,0.030270441506286903,24428,394
2,2,25,0.04640427802938368,0.03567094490446283,24428,394
2,2,26,0.044051081823268834,0.039010990255047805,24428,394
2,2,27,0.0430450660135176,0.03883991269641167,24428,394
2,2,28,0.04169488043687419,0.038315930885362476,24428,394
2,2,29,0.0393896357402464,0.03868935855410015,24428,394
2,2,30,0.025461173626698197,0.03591818752410005,24428,394
2,2,31,0.04529422389540383,0.03729970065165824,24428,394
2,2,32,0.03283824855184014,0.036486477302669,24428,394
2,2,33,0.017651936584254957,0.038771167921397336,24428,394
2,2,34,0.02404017180204593,0.03709097953645124,24428,394
2,2,35,0.023333589542183397,0.03729998579461956,24428,394
2,2,36,0.02879130651993711,0.0380985156069083,24428,394
2,2,37,0.049435313579926254,0.040787953859179146,24428,394
2,2,38,0.038971318682717915,0.041902776637116265,24428,394
2,2,39,0.04086860336431186,0.04277902350937573,24428,394
2,3,-22,0.044081011715722915,0.026661173884748007,24428,394
2,3,-21,0.0393678366877756,0.025202580462057582,24428,394
2,3,-20,0.0347920771918537,0.024260962388119593,24428,394
2,3,-19,0.0337074150002336,0.022966496869790236,24428,394
2,3,-18,0.031903193574018024,0.023820867113358166,24428,394
2,3,-17,0.023427355548677715,0.022114687454512408,24428,394
2,3,-16,0.004429861884485575,0.023963226820660793,24428,394
2,3,-15,-0.0064695473288239325,0.02567789476708907,24428,394
2,3,-14,-0.0026507532721159327,0.018003675721512433,24428,394
