sector,age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,4,-14,-0.227739824663596,0.075142620705878,21700,350
1,1,4,-13,-0.0469333656505019,0.0143149162455478,21700,350
1,1,4,-12,-0.0238174641376163,0.0182799067577212,21700,350
1,1,4,-11,-0.0124245233477287,0.0280896947389565,21700,350
1,1,4,-10,-0.197886774586364,0.0649272892926106,21700,350
1,1,4,-9,-0.106341189258928,0.0280650469306077,21700,350
1,1,4,-8,-0.0480893538604104,0.0103851197267935,21700,350
1,1,4,-7,-0.0392445254965038,0.0140600222724627,21700,350
1,1,4,-6,-0.11052573332401,0.0226939086129888,21700,350
1,1,4,-5,-0.19050722693599,0.0434508610106493,21700,350
1,1,4,-4,-0.269268229121915,0.147546029222855,21700,350
1,1,4,-3,-0.300800193599399,0.145553946504322,21700,350
1,1,4,-2,-0.180522810382302,0.0627291060553345,21700,350
1,1,4,0,0.0132727603556846,0.0126041958071522,21700,350
1,1,4,1,0.0315152103674871,0.0193332960674315,21700,350
1,1,4,2,-0.163103340651296,0.0815045965141088,21700,350
1,1,4,3,-0.0843492158930637,0.0378179062596868,21700,350
1,1,4,4,-0.0348706234458056,0.015134139371519,21700,350
1,1,4,5,-0.0368623517722465,0.0149053601735931,21700,350
1,1,4,6,-0.102867724254048,0.0417258188172785,21700,350
1,1,4,7,-0.172687293985744,0.0663505898513491,21700,350
1,1,4,8,-0.258231936903401,0.163188657167264,21700,350
1,1,4,9,-0.243175373160773,0.155996422829641,21700,350
1,1,4,10,-0.110112247061086,0.0805374039747638,21700,350
1,1,4,11,-0.00989267304478624,0.0450452692043354,21700,350
1,1,4,12,0.0147937016253906,0.0354064377516199,21700,350
1,1,4,13,0.0109381784561684,0.0326905923081835,21700,350
1,1,4,14,-0.138645136317941,0.0985748647589617,21700,350
1,1,4,15,-0.0892442247361007,0.0629171050444157,21700,350
1,1,4,16,-0.0519915954473802,0.0436032412016688,21700,350
1,1,4,17,-0.0623804531159619,0.0440913050518729,21700,350
1,1,4,18,-0.122521498647852,0.0729280312423859,21700,350
1,1,4,19,-0.190271124211497,0.104556092381139,21700,350
1,1,4,20,-0.273412612963654,0.199169412424759,21700,350
1,1,4,21,-0.263647775571886,0.202293041318372,21700,350
1,1,4,22,-0.133446165253947,0.112878811181509,21700,350
1,1,4,23,-0.038874799492836,0.0867069551492482,21700,350
1,1,4,24,-0.0327465340278762,0.0679149233094827,21700,350
1,1,4,25,-0.0149062102785592,0.0798949238037056,21700,350
1,1,4,26,-0.115403282403825,0.133020561084929,21700,350
1,1,4,27,-0.0786247895457285,0.110630995922417,21700,350
1,1,4,28,-0.0513671206353391,0.0924759058173912,21700,350
1,1,4,29,-0.0450811980806005,0.0887027773333265,21700,350
1,1,4,30,-0.182701481927365,0.133782155306849,21700,350
1,1,4,31,-0.227484481202554,0.153736371982527,21700,350
1,1,4,32,-0.2828844620357,0.244232108508073,21700,350
1,1,4,33,-0.258749159815315,0.228106502747983,21700,350
1,1,4,34,-0.1360882720318,0.141729507774657,21700,350
1,1,4,35,-0.0639710166680369,0.106944083099582,21700,350
1,1,4,36,-0.0326741796145862,0.0839870601233476,21700,350
1,1,4,37,-0.034857604088262,0.0876726046635223,21700,350
1,1,4,38,-0.16347426973672,0.158773506257726,21700,350
1,1,4,39,-0.0978526487736793,0.119874912617272,21700,350
1,1,5,-22,-0.141741462408626,0.0347797710029274,21700,350
1,1,5,-21,-0.112991538290557,0.0363475020834646,21700,350
1,1,5,-20,-0.0911951030836718,0.0360314134672371,21700,350
1,1,5,-19,-0.0904702902060849,0.0340610782474876,21700,350
1,1,5,-18,-0.103011753995021,0.0347140395426814,21700,350
1,1,5,-17,-0.090556342337848,0.0392421129929419,21700,350
1,1,5,-16,-0.12341778605989,0.0665317173134973,21700,350
1,1,5,-15,-0.151120736898737,0.0515234484609776,21700,350
1,1,5,-14,-0.109940777471632,0.0353846410313083,21700,350
1,1,5,-13,0.0038460007283391,0.0542633232611057,21700,350
1,1,5,-12,-0.0304450272938731,0.0267676690564852,21700,350
1,1,5,-11,-0.0394388043533895,0.0255910233475868,21700,350
1,1,5,-10,-0.0897371875825212,0.0175572211482371,21700,350
1,1,5,-9,-0.0544887955305874,0.0179278891587125,21700,350
1,1,5,-8,-0.0304151030026784,0.015267264704136,21700,350
1,1,5,-7,-0.0406876908649259,0.0147398660300885,21700,350
1,1,5,-6,-0.0432323909291913,0.0158286381047523,21700,350
1,1,5,-5,-0.0527698192691802,0.0204702322747506,21700,350
1,1,5,-4,-0.0819119972751336,0.0423926565524073,21700,350
1,1,5,-3,-0.0900909492919904,0.0378655719719936,21700,350
1,1,5,-2,-0.0655547231292175,0.0117642874066811,21700,350
1,1,5,0,0.0166512706445925,0.0106981319806471,21700,350
1,1,5,1,0.00970839911822249,0.00827487309854676,21700,350
1,1,5,2,-0.0199790783931701,0.0189768640966105,21700,350
1,1,5,3,0.00750896332974503,0.0178697532944393,21700,350
1,1,5,4,0.0160750457286985,0.0167455218989582,21700,350
1,1,5,5,0.0110990473428391,0.0198301141229291,21700,350
1,1,5,6,0.0136468043453219,0.0184513224467473,21700,350
1,1,5,7,0.00637477557094972,0.0204116350215661,21700,350
1,1,5,8,-0.0376929067204745,0.0447483822304917,21700,350
